n_iterations,n_runs,median_error_mm,iqr_error_mm,subset_seed_std_median_mm,subset_seed_iqr_median_mm,population_seed_std_median_mm,ratio_subset_over_population
3,173,260.12,301.74,200.84,279.41,40.77,4.93
5,175,260.12,288.30,201.03,150.99,32.17,6.25
7,175,301.40,267.33,140.14,153.72,27.95,5.01
10,175,301.40,292.64,146.51,150.99,22.39,6.54
15,175,301.42,295.04,179.30,150.99,21.22,8.45
25,175,301.42,292.77,136.72,72.85,18.97,7.21
