session,flight,n_iterations,seed,status,wall_ms,error_mm,n_inliers,n_fit_points,rejected_frac,fit_window_duration_ms
2026_07_15_gym,flight_11,7,9,ok,212.5552,375.3682,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,7,10,ok,215.2719,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,7,11,ok,220.1282,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,7,12,ok,206.7307,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,7,13,ok,212.7548,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,7,14,ok,213.8290,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,7,15,ok,227.4890,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,7,16,ok,207.7645,596.6369,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,7,17,ok,208.6988,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,7,18,ok,203.1505,660.8076,16,26,0.3846,416.3030
2026_07_15_gym,flight_11,7,19,ok,203.8788,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,7,20,ok,201.5055,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,7,21,ok,198.5604,531.7420,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,7,22,ok,204.0158,596.6369,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,7,23,ok,212.1530,367.9154,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,7,24,ok,211.8980,403.3369,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,0,ok,283.9032,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,1,ok,283.7626,367.9154,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,10,2,ok,281.3166,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,3,ok,302.2028,375.3682,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,4,ok,279.8848,403.3369,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,5,ok,288.4484,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,6,ok,279.9449,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,10,7,ok,281.4246,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,8,ok,278.6046,531.7420,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,10,9,ok,281.9523,375.3682,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,10,ok,280.2776,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,11,ok,283.9578,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,12,ok,267.4029,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,13,ok,274.8259,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,14,ok,271.5427,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,15,ok,277.6408,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,16,ok,277.8387,596.6369,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,17,ok,288.6608,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,18,ok,279.3294,660.8076,16,26,0.3846,416.3030
2026_07_15_gym,flight_11,10,19,ok,268.2590,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,10,20,ok,295.7481,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,10,21,ok,300.5189,531.7420,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,10,22,ok,298.7970,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,10,23,ok,300.7876,367.9154,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,10,24,ok,300.5916,403.3369,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,0,ok,452.1590,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,1,ok,451.7853,367.9154,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,15,2,ok,537.9445,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,3,ok,459.3137,375.3682,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,4,ok,418.4325,403.3369,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,5,ok,421.2659,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,6,ok,438.4003,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,15,7,ok,409.5445,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,8,ok,414.7367,531.7420,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,15,9,ok,439.4164,375.3682,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,10,ok,418.3915,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,11,ok,438.6566,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,12,ok,411.3717,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,13,ok,406.2332,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,14,ok,446.9268,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,15,ok,439.0882,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,15,16,ok,423.8135,596.6369,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,17,ok,423.9543,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,18,ok,406.3649,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,19,ok,403.8362,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,15,20,ok,420.3564,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,15,21,ok,434.1778,531.7420,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,15,22,ok,395.9239,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,15,23,ok,398.6737,367.9154,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,15,24,ok,413.2876,403.3369,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,25,0,ok,673.5668,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,1,ok,678.5833,367.9154,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,2,ok,690.2559,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,3,ok,656.7097,375.3682,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,25,4,ok,693.2544,531.7420,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,5,ok,648.4171,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,25,6,ok,661.7109,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,7,ok,687.9004,531.7420,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,8,ok,674.9923,531.7420,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,9,ok,703.3692,375.3682,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,25,10,ok,681.9651,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,25,11,ok,702.2444,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,25,12,ok,766.4890,583.9115,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,25,13,ok,712.8241,531.7420,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,14,ok,683.6725,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,15,ok,726.5092,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,16,ok,704.6745,531.7420,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,17,ok,653.0164,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,25,18,ok,661.2990,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,19,ok,736.3912,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,20,ok,634.2425,508.0232,17,26,0.3462,416.3030
2026_07_15_gym,flight_11,25,21,ok,685.2826,531.7420,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,22,ok,646.4690,596.6777,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,23,ok,644.8922,367.9154,18,26,0.3077,416.3030
2026_07_15_gym,flight_11,25,24,ok,679.9125,403.3369,17,26,0.3462,416.3030
2026_07_15_gym,flight_12,3,0,ok,99.5358,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,3,1,ok,95.6023,223.4786,12,26,0.5385,416.3005
2026_07_15_gym,flight_12,3,2,ok,97.3263,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,3,3,ok,102.6458,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,3,4,ok,108.4989,248.5876,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,3,5,ok,106.9857,189.3739,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,3,6,ok,116.9767,154.1862,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,3,7,ok,115.7371,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,3,8,ok,107.1680,188.7390,14,26,0.4615,416.3005
2026_07_15_gym,flight_12,3,9,ok,110.3775,283.4871,11,26,0.5769,416.3005
2026_07_15_gym,flight_12,3,10,ok,104.0179,1032.2702,9,26,0.6538,416.3005
2026_07_15_gym,flight_12,3,11,ok,117.0681,126.3179,12,26,0.5385,416.3005
2026_07_15_gym,flight_12,3,12,ok,93.8513,223.4786,12,26,0.5385,416.3005
2026_07_15_gym,flight_12,3,13,ok,103.6902,281.4013,14,26,0.4615,416.3005
