cls,A,selected_window,success_rate,plateau_windows,plateau_size,n_total,n_ok,n_fit_failed,success,wrong_velocity,wrong_position,wrong_class,late,no_response,pos_median,pos_p90,pos_max,bias_x,rms_x,bias_y,rms_y,bias_z,rms_z,ind_no_response,ind_late,ind_wrong_class,ind_wrong_position,ind_wrong_velocity,ind_no_response_evaluable,ind_late_evaluable,ind_wrong_class_evaluable,ind_wrong_position_evaluable,ind_wrong_velocity_evaluable
SHORT,72.0000,300,76.5957,250;300,2,47,47,0,36,1,4,2,4,0,86.2700,297.1362,682.4685,-38.3971,126.5967,29.6608,242.0980,-42.8309,114.2800,0,4,2,6,6,47,47,47,47,47
LONG,72.0000,700,95.0000,700,1,60,60,0,57,0,2,1,0,0,90.6697,179.4804,576.6562,-23.0774,50.9988,16.8097,67.3690,-77.1370,112.2960,0,0,1,2,1,60,60,60,60,60
SHORT,135.0000,200,70.2128,200,1,47,45,2,33,5,6,1,0,2,127.3850,350.1814,851.3886,-96.8557,171.8165,83.5283,304.6696,-92.6375,141.0932,2,0,1,7,11,47,45,45,45,45
LONG,135.0000,650,93.3333,650,1,60,60,0,56,0,3,1,0,0,110.1279,179.8939,401.6472,-29.9408,58.4270,31.3234,78.3593,-84.6871,119.8784,0,0,1,3,1,60,60,60,60,60
SHORT,220.0000,200,53.1915,200,1,47,45,2,25,4,6,1,9,2,127.3850,350.1814,851.3886,-96.8557,171.8165,83.5283,304.6696,-92.6375,141.0932,2,9,1,7,11,47,45,45,45,45
LONG,220.0000,650,83.3333,600;650,2,60,60,0,50,0,3,1,6,0,110.1279,179.8939,401.6472,-29.9408,58.4270,31.3234,78.3593,-84.6871,119.8784,0,6,1,3,1,60,60,60,60,60
