cls,A,selected_window,success_rate,plateau_windows,plateau_size,n_total,n_ok,n_fit_failed,success,wrong_velocity,wrong_position,wrong_class,late,no_response,pos_median,pos_p90,pos_max,bias_x,rms_x,bias_y,rms_y,bias_z,rms_z,ind_no_response,ind_late,ind_wrong_class,ind_wrong_position,ind_wrong_velocity,ind_no_response_evaluable,ind_late_evaluable,ind_wrong_class_evaluable,ind_wrong_position_evaluable,ind_wrong_velocity_evaluable
SHORT,72.0000,250,91.4894,250,1,47,45,2,43,0,0,2,0,2,121.3012,248.4210,918.8999,-83.3262,134.7498,91.6375,250.4344,-73.9901,127.0250,2,0,2,1,1,47,45,45,45,45
LONG,72.0000,650,98.3333,650,1,60,60,0,59,0,0,1,0,0,110.1279,179.8939,401.6472,-29.9408,58.4270,31.3234,78.3593,-84.6871,119.8784,0,0,1,0,0,60,60,60,60,60
SHORT,135.0000,200,89.3617,200,1,47,45,2,42,1,1,1,0,2,127.3850,350.1814,851.3886,-96.8557,171.8165,83.5283,304.6696,-92.6375,141.0932,2,0,1,2,1,47,45,45,45,45
LONG,135.0000,650,98.3333,650,1,60,60,0,59,0,0,1,0,0,110.1279,179.8939,401.6472,-29.9408,58.4270,31.3234,78.3593,-84.6871,119.8784,0,0,1,0,0,60,60,60,60,60
SHORT,220.0000,200,70.2128,200,1,47,45,2,33,1,1,1,9,2,127.3850,350.1814,851.3886,-96.8557,171.8165,83.5283,304.6696,-92.6375,141.0932,2,9,1,2,1,47,45,45,45,45
LONG,220.0000,600,95.0000,600,1,60,60,0,57,0,2,1,0,0,115.0109,316.6314,649.8355,-40.3173,73.9767,41.8335,111.7854,-110.1897,153.1645,0,0,1,2,0,60,60,60,60,60
