cls,A,success_rate_3crit,window_3crit,success_rate_4crit,window_4crit,delta_pp,success_rate_4crit_sensitivity,window_4crit_sensitivity
SHORT,72.0000,93.6170,200,91.4894,250,-2.1277,76.5957,300
LONG,72.0000,98.3333,700,98.3333,650,0.0000,95.0000,700
SHORT,135.0000,93.6170,200,89.3617,200,-4.2553,70.2128,200
LONG,135.0000,98.3333,650,98.3333,650,0.0000,93.3333,650
SHORT,220.0000,74.4681,200,70.2128,200,-4.2553,53.1915,200
LONG,220.0000,98.3333,600,95.0000,600,-3.3333,83.3333,650
