session,flight,W_ms,status,n_points,detect_sum_ms,triangulate_ms,ransac_ms,total_compute_ms,w_plus_compute_ms,position_error_mm,velocity_error_a_mm_s,velocity_error_b_mm_s,lead_time_ms,reason
2026_07_15_gym,flight_11,150.0,ok,10,192.35564498603344,0.09389699995517731,85.2625139951706,277.7120559811592,427.7120559811592,450.385768408148,511.6550892285252,12101.51521575455,1365.469,
2026_07_15_gym,flight_11,200.0,ok,13,250.00204499810934,0.10784200578927994,96.05985599756241,346.16974300146103,546.169743001461,724.9280854468714,423.98452607626274,11979.82348944836,1315.512,
2026_07_15_gym,flight_11,250.0,ok,16,307.0640419945121,0.11793600022792816,104.91647500544786,412.0984530001879,662.0984530001879,870.9800914125913,390.0508510683468,11930.416854290124,1265.5569999999998,
2026_07_15_gym,flight_11,300.0,ok,19,364.2355869933963,0.12719599902629852,116.78457800298929,481.1473609954119,781.1473609954119,554.9239664784457,417.6009594163984,12034.922871477911,1215.5995,
2026_07_15_gym,flight_11,350.0,ok,22,421.67541398108006,0.13599299639463425,129.16355700045824,550.9749639779329,900.9749639779329,596.6649687795666,411.31639504027413,12050.828385973002,1165.6425,
2026_07_15_gym,flight_11,400.0,ok,24,460.5370399951935,0.14247499406337738,129.0615109950304,589.7410259842873,989.7410259842873,688.2308005505685,396.02538570206946,12030.952083844382,1115.686,
2026_07_15_gym,flight_11,430.0,ok,24,460.5370399951935,0.14056700468063354,129.69413999468088,590.371746994555,1020.371746994555,688.2308005505685,396.02538570206946,12030.952083844382,1115.686,
2026_07_15_gym,flight_12,150.0,ok,10,189.88118700683117,0.09511899203062057,87.6070140004158,277.5833199992776,427.5833199992776,931.0498079675484,183.89270149542588,2543.322375688116,1365.467,
2026_07_15_gym,flight_12,200.0,ok,13,247.0242300182581,0.10599099844694138,102.22920598834753,349.35942700505257,549.3594270050526,523.1214060404282,181.70429646660955,2354.1683852721244,1315.5105,
2026_07_15_gym,flight_12,250.0,ok,15,284.5910940244794,0.1143990010023117,99.76480700075626,384.47030002623796,634.470300026238,1041.0422486096015,246.02497527148648,2590.6890930528557,1282.2085000000002,
2026_07_15_gym,flight_12,300.0,ok,18,341.4323110282421,0.13228900730609894,116.58861599862576,458.15321603417397,758.153216034174,212.3087081969651,305.2417707248155,2168.5019509362214,1215.5975,
2026_07_15_gym,flight_12,350.0,ok,21,398.7472560480237,0.13740000128746033,130.82794200628996,529.7125980556011,879.7125980556011,180.49808376105017,336.21623800008115,2134.66571215493,1165.6440000000002,
2026_07_15_gym,flight_12,400.0,ok,23,437.0714090541005,0.14129000157117844,133.63364799320698,570.8463470488787,970.8463470488787,278.0000282672577,271.21106078042624,2200.5004741711914,1132.3400000000001,
2026_07_15_gym,flight_12,430.0,ok,24,455.8525170534849,0.1431419998407364,133.00711199641228,589.0027710497379,1019.0027710497379,254.32319488939473,403.86129858428944,2088.7174524885463,1099.036,
2026_07_15_gym,flight_14,150.0,ok,10,193.6493619978428,0.09767500311136246,91.08135200291872,284.82838900387287,434.82838900387287,1126.4008078961167,463.6117595342857,231847.1441842821,1332.1654999999998,
