W_ms,n_ok,n_skipped,n_points_median,total_compute_ms_median,total_compute_ms_p95,w_plus_compute_ms_median,w_plus_compute_ms_p95,position_error_mm_median,position_error_mm_iqr,velocity_error_a_mm_s_median,velocity_error_a_mm_s_iqr,velocity_error_b_mm_s_median,velocity_error_b_mm_s_iqr,under_430ms_budget_p95,under_430ms_budget_median
150.0,81,69,10,268.1601340100169,286.128448985517,418.1601340100169,436.128448985517,409.0631444302593,344.64627671148315,362.31867603960626,349.28050658319455,6960.452673997267,7805.00912365275,False,True
200.0,120,30,13,337.5824269875884,351.35798398405313,537.5824269875884,551.3579839840531,311.5700090401267,322.44511883153785,277.477658967281,278.1150914035629,5946.792151498978,7904.00948925916,False,False
250.0,131,19,16,401.7356989979744,417.3918860256672,651.7356989979744,667.3918860256672,270.62923575074154,226.7149195596405,224.7730739420503,236.17600824479197,5918.5674571037125,8085.16517499466,False,False
300.0,144,6,19,466.7921480089426,490.96624702215195,766.7921480089426,790.966247022152,251.51018520182598,234.7916947220278,208.56571091704095,263.9522309597673,6145.857797135722,7902.845577494796,False,False
350.0,148,2,22,536.5223380103707,557.0184250548482,886.5223380103707,907.0184250548482,235.31901567053032,188.62266299049182,185.00699629551283,202.20477400573932,5982.085038032755,7934.97751327245,False,False
400.0,146,4,25,601.1145629957318,619.5249730274081,1001.1145629957318,1019.5249730274081,206.3837044682312,164.9348492234413,136.72545172997772,134.4900313336634,6048.278199333734,8011.7456901216965,False,False
430.0,145,5,26,622.191207960248,645.8570869937539,1052.191207960248,1075.857086993754,192.17249104342505,147.2039590222776,128.18675628898922,126.78797977819738,6167.496139486622,8012.278667345037,False,False
