frame_number,u,v
24,316.4932,665.1158
25,334.9328,673.7950
26,354.1352,673.4919
27,375.0317,688.0696
28,396.4610,695.5826
29,422.1739,703.0498
30,444.8936,713.4915
31,469.3490,725.0461
32,497.2337,735.0231
33,522.8904,748.6798
34,550.2949,760.4452
35,582.8342,774.9701
36,609.9188,789.0359
37,640.9201,803.2904
38,671.2410,818.6794
39,702.9813,833.7514
40,736.8160,849.7191
41,766.5584,865.7092
42,800.1852,879.6592
43,830.9646,899.0422
44,865.0450,914.6322
45,896.9153,932.4876
46,928.0732,948.8277
47,958.5916,965.5944
48,995.5998,977.6127
