frame_number,u,v
6,385.9026,651.0934
7,395.0424,630.6310
8,407.6482,614.5695
9,417.3462,598.6075
10,427.9758,584.2084
11,439.3375,566.0904
12,450.2624,551.2629
13,460.4527,534.5662
14,472.1691,521.6888
15,483.4479,508.4573
16,492.7330,494.6453
17,504.2562,482.7960
18,515.7848,470.2054
19,523.6964,458.4775
20,536.3109,449.1931
21,548.3253,438.5382
22,556.6998,426.7897
23,569.8069,419.3583
24,580.7761,410.4576
25,589.6197,400.9697
26,601.7505,394.2474
27,609.7106,384.7428
28,619.8541,376.0918
29,631.4253,370.9757
30,641.7190,366.6551
31,652.6532,360.4027
32,664.1045,356.3196
33,675.6621,353.0968
34,685.8160,349.8831
35,696.2947,346.3999
36,707.4978,342.8263
37,715.0000,339.4636
38,725.2830,336.3584
39,735.6048,334.6841
40,745.0482,332.9737
41,755.7954,331.9667
42,765.8794,331.0865
43,775.6801,330.3501
44,786.1379,330.7560
45,795.8994,331.4686
46,805.4081,331.1287
47,817.0040,334.2800
48,826.9412,335.7313
49,836.2725,336.9593
50,847.5175,341.6539
51,857.8811,343.8088
52,868.1521,346.5253
53,879.0111,352.6998
54,889.2034,356.3991
55,897.8091,360.7255
56,910.7946,368.0163
57,920.6804,372.4805
58,928.1654,377.5518
59,941.5599,386.4070
60,949.3035,390.6991
61,959.4045,397.8755
62,974.0232,410.1324
63,981.4883,412.2852
64,992.6170,420.2506
65,1004.3859,434.6270
66,1015.2138,441.2071
67,1028.0252,450.8991
68,1037.9949,461.7620
69,380.0174,861.6016
70,372.9215,870.2436
71,364.3957,876.9502
72,338.1942,884.4649
73,1096.9828,529.0327
74,1106.9044,543.4751
75,1122.0602,557.9852
76,1132.1658,576.9427
77,1134.9677,591.8794
80,1170.6909,647.9783
81,1176.6196,663.4574
82,1188.7420,672.1525
83,1195.6871,684.4893
85,1214.3442,725.2100
86,1222.2890,753.4302
87,1233.5197,765.8189
88,1240.3161,786.5126
89,1247.6395,816.6909
90,1252.4743,837.9532
91,1258.6810,858.7203
92,1267.7673,876.3078
93,1271.1886,896.7404
94,1276.0701,919.8293
95,1279.9206,938.8603
