frame_number,u,v
33,485.1027,686.7586
34,507.6639,690.4037
35,530.7092,691.9578
36,555.8125,689.1140
37,578.6302,698.2620
38,604.6909,700.1833
39,630.9191,702.1548
40,656.0084,710.8085
41,688.2006,714.7336
42,716.3630,718.8613
43,740.2164,727.7178
44,767.3030,733.3760
45,792.4180,735.5047
46,818.2390,748.3138
47,842.9323,755.0166
48,873.4074,759.9801
49,899.2186,772.0134
50,924.9034,777.1103
51,954.7702,785.1984
52,981.1795,800.1216
53,1007.1713,798.1760
54,1033.1906,808.3231
55,1061.0686,830.0876
56,1080.9763,840.1694
57,1102.3093,851.3296
58,1127.6552,861.6879
59,1150.1822,872.2346
60,1171.8619,881.8309
61,1190.9831,893.3407
63,1231.9480,916.7090
64,1251.8387,926.3304
65,1270.1277,930.2179
66,1290.8952,935.8347
67,1309.3391,951.5029
