frame_number,u,v
24,518.7811,720.8086
25,541.8006,722.6658
26,565.3558,736.7629
27,591.3484,742.0346
28,619.4190,747.2456
29,646.5356,759.0645
30,674.0915,768.9724
31,702.5987,779.5011
32,730.4397,789.3520
33,762.0334,801.3872
34,791.5261,811.6534
35,821.9302,825.1765
36,854.1390,836.4587
37,885.5380,849.4678
38,917.0886,862.2866
39,945.5318,875.3968
40,977.1627,889.5788
41,1007.6908,903.7472
42,1038.7948,917.0795
43,1067.2160,930.5785
44,1098.2436,945.0630
45,1126.7660,958.4590
46,1151.6267,967.2092
47,1177.6608,977.1953
48,1202.1954,1000.5458
