flight,variant,k,residual_rms_mm
pooled,plain,1.22598008e-04,55.9121
pooled,plain,1.27794636e-04,59.5327
pooled,plain,1.32991264e-04,63.1887
pooled,plain,1.38187893e-04,66.8716
pooled,plain,1.43384521e-04,70.5745
pooled,plain,1.48581149e-04,74.2922
pooled,plain,1.53777778e-04,78.0204
pooled,ransac,3.07555556e-06,49.5153
pooled,ransac,8.27218391e-06,45.8813
pooled,ransac,1.34688123e-05,42.3589
pooled,ransac,1.86654406e-05,38.9708
pooled,ransac,2.38620690e-05,35.7473
pooled,ransac,2.90586973e-05,32.7285
pooled,ransac,3.42553257e-05,29.9672
pooled,ransac,3.94519540e-05,27.5315
pooled,ransac,4.46485824e-05,25.5045
pooled,ransac,4.98452107e-05,23.9797
pooled,ransac,5.50418391e-05,23.0462
pooled,ransac,6.02384674e-05,22.7664
pooled,ransac,6.54350958e-05,23.1541
pooled,ransac,7.06317241e-05,24.1678
pooled,ransac,7.58283525e-05,25.7252
pooled,ransac,8.10249808e-05,27.7271
pooled,ransac,8.62216092e-05,30.0782
pooled,ransac,9.14182375e-05,32.6970
pooled,ransac,9.66148659e-05,35.5190
pooled,ransac,1.01811494e-04,38.4946
pooled,ransac,1.07008123e-04,41.5864
pooled,ransac,1.12204751e-04,44.7665
pooled,ransac,1.17401379e-04,48.0137
pooled,ransac,1.22598008e-04,51.3121
pooled,ransac,1.27794636e-04,54.6494
pooled,ransac,1.32991264e-04,58.0163
pooled,ransac,1.38187893e-04,61.4054
pooled,ransac,1.43384521e-04,64.8110
pooled,ransac,1.48581149e-04,68.2286
pooled,ransac,1.53777778e-04,71.6545
