cls,A,window,rate,success,wrong_velocity,wrong_position,wrong_class,late,no_response,n_total,n_ok,n_fit_failed,median_pos,p90_pos,hit_miss_rate,bias_x,rms_x,n_out_x,bias_y,rms_y,n_out_y,bias_z,rms_z,n_out_z
SHORT,72.0000,300,53.1915,25,0,16,2,4,0,47,47,0,86.2700,297.1362,95.7447,-38.3971,126.5967,0,29.6608,242.0980,0,-42.8309,114.2800,0
LONG,72.0000,700,56.6667,34,0,25,1,0,0,60,60,0,90.6697,179.4804,98.3333,-23.0774,50.9988,0,16.8097,67.3690,0,-77.1370,112.2960,0
SHORT,135.0000,250,36.1702,17,0,21,2,5,2,47,45,2,121.3012,248.4210,95.5556,-83.3262,134.7498,0,91.6375,250.4344,0,-73.9901,127.0250,0
LONG,135.0000,700,53.3333,32,0,24,1,3,0,60,60,0,90.6697,179.4804,98.3333,-23.0774,50.9988,0,16.8097,67.3690,0,-77.1370,112.2960,0
SHORT,220.0000,200,27.6596,13,0,22,1,9,2,47,45,2,127.3850,350.1814,97.7778,-96.8557,171.8165,0,83.5283,304.6696,0,-92.6375,141.0932,0
LONG,220.0000,600,38.3333,23,0,36,1,0,0,60,60,0,115.0109,316.6314,98.3333,-40.3173,73.9767,0,41.8335,111.7854,0,-110.1897,153.1645,0
