session,flight,bin,cls2,elevation_deg,T_ms,status,airborne,n_detected,position_error_mm,velocity_error_mm_s,hit_miss_match,latency_ms,last_pair_detect_ms,triangulate_ms,ransac_ms,predict_ms,launch_to_crossing_ms,duration_ms
2026_07_15_gym,flight_11,LOB,LONG,53.2846,150,ok,True,10,281.06567501784946,252.94643908653373,True,139.07196266731867,14.883278000168502,0.05162900034338236,85.88487000018358,21.585518999956548,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,200,ok,True,13,517.4444805725651,381.7650117368319,True,152.03751866860935,14.938463000580668,0.0837780013680458,96.83896300010383,23.50964799989015,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,250,ok,True,16,634.8467340395267,466.2604068729317,True,157.77379766634354,14.82057400047779,0.08861200045794249,105.35424099955708,20.843703999184072,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,300,ok,True,19,418.504476870672,337.3726834139691,True,171.32322266666839,14.855610999278724,0.09694500081241131,117.10672200005502,22.597277999855578,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,350,ok,True,22,432.381883507743,308.86857728668963,True,228.93692566516498,14.811258998699486,0.10207400005310774,179.98007399961352,17.376852000132203,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,400,ok,True,24,475.8059699258787,337.9704730885317,True,181.44755466437587,14.92990699969232,0.11029599979519844,129.86462999973446,19.876054998487234,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,450,ok,True,26,347.610891531915,253.64757328780422,True,193.5148156673337,14.931166999973357,0.11163000017404556,140.61396300047636,21.191389000043273,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,490,ok,True,27,96.80852222191234,132.6481819594528,True,194.2197956663246,14.80870399903506,0.11166600044816732,141.14825899992138,21.48450000025332,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,500,ok,True,28,395.670810344766,277.16200539423613,True,201.37829666646817,14.826555999927223,0.11601899936795235,148.88399999961257,20.88505500089377,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,550,ok,True,29,302.7425136433336,204.43061256723624,True,211.44240766732642,15.316389000043273,0.1168150007724762,157.80333299934864,21.539204000495374,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,600,ok,True,31,233.36909979686834,245.16882397592062,True,234.42659366565445,14.915074000135064,0.12146299984306097,180.13151899911463,22.591870999895036,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,650,ok,True,34,147.3501884798454,204.26573048786963,True,227.7511476666356,14.800665999762714,0.12998099997639656,178.4617230007425,17.69211099948734,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,700,ok,True,37,166.61972014600377,202.9200327211747,True,233.9925566666449,14.680908000096679,0.13487099949270487,183.00929600000381,19.500815000385046,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,750,ok,True,40,178.17339630042835,207.32130800691505,True,229.7619626658658,14.967240000143647,0.13914799969643354,178.07757399976254,19.911333999596536,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,800,ok,True,43,168.72363406538724,196.74776544392859,True,255.48475766616562,14.9512959998101,0.15731399971991777,203.4102590000257,20.299221999943256,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,850,ok,True,45,159.06926164022346,169.70238031414402,True,247.93833366750428,14.626443999819458,0.1495559997856617,196.30364800058305,20.192019000649452,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,900,ok,True,47,169.67786756634356,176.9440279058832,True,260.8236676656331,14.846222999505699,0.1552590001374483,208.54855599999428,20.60696299932897,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,950,ok,True,48,130.78789906763507,155.24779667408885,True,255.17005666686842,14.751036999747157,0.15557400044053793,202.76694499980658,20.829834000207484,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,1000,ok,True,49,166.3699533546066,174.48763897764866,True,291.9303896666194,15.026112000457942,0.1588340001180768,239.05977699998766,21.018999999389052,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,1050,ok,True,52,189.58229881409937,212.15790390719033,True,359.58109266559285,15.106185000389814,0.165629998780787,306.4160920009017,21.226518998853862,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,1100,ok,True,54,178.22895758335034,180.76378024097679,True,374.69842566518736,14.781592999584973,0.17055500019341707,319.6002959990874,23.47931499965489,1204.723509224763,1515.337
2026_07_15_gym,flight_11,LOB,LONG,53.2846,1150,ok,True,54,178.22895758335034,180.76378024097679,True,374.87822266543907,14.781592999584973,0.16942599974572659,319.785445000045,23.475091999396682,1204.723509224763,1515.337
