cls,A,window_100,rate_100,window_150,rate_150,delta_pp
SHORT,72.0000,300,53.1915,300,65.9574,12.7660
LONG,72.0000,700,56.6667,750,85.0000,28.3333
SHORT,135.0000,250,36.1702,200,53.1915,17.0213
LONG,135.0000,700,53.3333,650,78.3333,25.0000
SHORT,220.0000,200,27.6596,200,40.4255,12.7660
LONG,220.0000,600,38.3333,650,68.3333,30.0000
