session,flight,bin,T_ms,status,airborne,n_detected,n_ideal_cadence,position_error_mm,velocity_error_mm_s,hit_miss_match,latency_ms,latency_feasible,last_pair_detect_ms,triangulate_ms,ransac_ms,predict_ms
2026_07_15_gym,flight_11,LOB,150,ok,True,10,9.0,281.06567501784946,252.94643908653373,True,139.07196266731867,True,14.883278000168502,0.05162900034338236,85.88487000018358,21.585518999956548
2026_07_15_gym,flight_11,LOB,200,ok,True,13,12.0,517.4444805725651,381.7650117368319,True,152.03751866860935,True,14.938463000580668,0.0837780013680458,96.83896300010383,23.50964799989015
2026_07_15_gym,flight_11,LOB,250,ok,True,16,14.999999999999998,634.8467340395267,466.2604068729317,True,157.77379766634354,True,14.82057400047779,0.08861200045794249,105.35424099955708,20.843703999184072
2026_07_15_gym,flight_11,LOB,300,ok,True,19,18.0,418.504476870672,337.3726834139691,True,171.32322266666839,True,14.855610999278724,0.09694500081241131,117.10672200005502,22.597277999855578
2026_07_15_gym,flight_11,LOB,350,ok,True,22,21.0,432.381883507743,308.86857728668963,True,228.93692566516498,True,14.811258998699486,0.10207400005310774,179.98007399961352,17.376852000132203
2026_07_15_gym,flight_11,LOB,400,ok,True,24,24.0,475.8059699258787,337.9704730885317,True,181.44755466437587,True,14.92990699969232,0.11029599979519844,129.86462999973446,19.876054998487234
2026_07_15_gym,flight_11,LOB,450,ok,True,26,26.999999999999996,347.610891531915,253.64757328780422,True,193.5148156673337,True,14.931166999973357,0.11163000017404556,140.61396300047636,21.191389000043273
2026_07_15_gym,flight_11,LOB,490,ok,True,27,29.4,96.80852222191234,132.6481819594528,True,194.2197956663246,True,14.80870399903506,0.11166600044816732,141.14825899992138,21.48450000025332
2026_07_15_gym,flight_11,LOB,500,ok,True,28,29.999999999999996,395.670810344766,277.16200539423613,True,201.37829666646817,True,14.826555999927223,0.11601899936795235,148.88399999961257,20.88505500089377
2026_07_15_gym,flight_11,LOB,550,ok,True,29,33.0,302.7425136433336,204.43061256723624,True,211.44240766732642,True,15.316389000043273,0.1168150007724762,157.80333299934864,21.539204000495374
2026_07_15_gym,flight_11,LOB,600,ok,True,31,36.0,233.36909979686834,245.16882397592062,True,234.42659366565445,True,14.915074000135064,0.12146299984306097,180.13151899911463,22.591870999895036
2026_07_15_gym,flight_11,LOB,650,ok,True,34,39.0,147.3501884798454,204.26573048786963,True,227.7511476666356,True,14.800665999762714,0.12998099997639656,178.4617230007425,17.69211099948734
2026_07_15_gym,flight_11,LOB,700,ok,True,37,42.0,166.61972014600377,202.9200327211747,True,233.9925566666449,True,14.680908000096679,0.13487099949270487,183.00929600000381,19.500815000385046
2026_07_15_gym,flight_11,LOB,750,ok,True,40,45.0,178.17339630042835,207.32130800691505,True,229.7619626658658,True,14.967240000143647,0.13914799969643354,178.07757399976254,19.911333999596536
2026_07_15_gym,flight_11,LOB,800,ok,True,43,48.0,168.72363406538724,196.74776544392859,True,255.48475766616562,True,14.9512959998101,0.15731399971991777,203.4102590000257,20.299221999943256
2026_07_15_gym,flight_11,LOB,850,ok,True,45,50.99999999999999,159.06926164022346,169.70238031414402,True,247.93833366750428,True,14.626443999819458,0.1495559997856617,196.30364800058305,20.192019000649452
2026_07_15_gym,flight_11,LOB,900,ok,True,47,53.99999999999999,169.67786756634356,176.9440279058832,True,260.8236676656331,True,14.846222999505699,0.1552590001374483,208.54855599999428,20.60696299932897
2026_07_15_gym,flight_11,LOB,950,ok,True,48,56.99999999999999,130.78789906763507,155.24779667408885,True,255.17005666686842,True,14.751036999747157,0.15557400044053793,202.76694499980658,20.829834000207484
2026_07_15_gym,flight_11,LOB,1000,ok,True,49,59.99999999999999,166.3699533546066,174.48763897764866,True,291.9303896666194,True,15.026112000457942,0.1588340001180768,239.05977699998766,21.018999999389052
2026_07_15_gym,flight_11,LOB,1050,ok,True,52,62.99999999999999,189.58229881409937,212.15790390719033,True,359.58109266559285,True,15.106185000389814,0.165629998780787,306.4160920009017,21.226518998853862
2026_07_15_gym,flight_11,LOB,1100,ok,True,54,66.0,178.22895758335034,180.76378024097679,True,374.69842566518736,True,14.781592999584973,0.17055500019341707,319.6002959990874,23.47931499965489
2026_07_15_gym,flight_11,LOB,1150,ok,True,54,69.0,178.22895758335034,180.76378024097679,True,374.87822266543907,True,14.781592999584973,0.16942599974572659,319.785445000045,23.475091999396682
2026_07_15_gym,flight_11,LOB,1200,ok,True,54,72.0,178.22895758335034,180.76378024097679,True,374.2893506657953,True,14.781592999584973,0.16957399994134903,319.22474000044167,23.446776999160647
2026_07_15_gym,flight_11,LOB,1250,ok,False,56,75.0,190.90032122929097,180.68495051090505,True,295.25177866655093,True,14.880315000191331,0.1739259995520115,247.7270560003817,15.803814999759197
2026_07_15_gym,flight_12,LOB,150,ok,True,10,9.0,904.6946016998746,571.581427846345,True,149.04279566711435,True,14.805592000484467,0.04514800012111664,88.46474099997431,29.060647999867797
2026_07_15_gym,flight_12,LOB,200,ok,True,13,12.0,673.4954206243455,571.0098561370686,True,160.05762966598073,True,14.802426000125706,0.08346300013363361,102.02831499930471,26.476758999750018
2026_07_15_gym,flight_12,LOB,250,ok,True,15,14.999999999999998,936.1196194275327,578.2922761723494,True,160.65398266880462,True,14.784889000467956,0.08859300054609776,100.87044500093907,28.243389000184834
2026_07_15_gym,flight_12,LOB,300,ok,True,18,18.0,404.16828691996653,386.96077399503037,True,172.51638866743693,True,14.864444000646472,0.09638799913227558,115.71248200070113,25.176408000290394
2026_07_15_gym,flight_12,LOB,350,ok,True,21,21.0,430.8020011654779,429.12207469526464,True,188.87881466808417,True,15.0628890004009,0.10142599977552891,130.9514810005203,26.0963520007208
2026_07_15_gym,flight_12,LOB,400,ok,True,23,24.0,302.6759546341437,212.92841440450178,True,193.41255466702083,True,15.246573999524117,0.10394399985671043,134.08750000037253,27.307870000600815
2026_07_15_gym,flight_12,LOB,450,ok,True,26,26.999999999999996,618.0402463477477,695.0605914917,True,206.22598166732737,True,15.19827700033784,0.11024100054055452,150.51525999978185,23.735537000000477
2026_07_15_gym,flight_12,LOB,490,ok,True,28,29.4,1193.1703235055247,854.7974488631886,False,217.44601866758117,True,15.00831500068307,0.11266699898988008,160.7707960009575,24.887574000284076
2026_07_15_gym,flight_12,LOB,500,ok,True,29,29.999999999999996,207.7601224074395,168.41227210512275,True,212.70996166734645,True,14.835648000240326,0.11751800123602152,158.31961099989712,22.77051799930632
2026_07_15_gym,flight_12,LOB,550,ok,True,32,33.0,1004.2926588140838,1010.2847492245666,False,198.91533466490606,True,14.86401899997145,0.12468599993735552,142.8999999994412,24.359962998889387
2026_07_15_gym,flight_12,LOB,600,ok,True,35,36.0,121.91748263886753,88.73894444621152,True,253.00455466719964,True,14.782722000032663,0.13061099965125322,195.50453700032085,25.920018000528216
2026_07_15_gym,flight_12,LOB,650,ok,True,38,39.0,164.82007291209663,96.79144938630867,True,229.86261066577086,True,15.089499999769032,0.13464799989014864,171.5435370001942,26.42825899925083
2026_07_15_gym,flight_12,LOB,700,ok,True,41,42.0,189.7309099566257,127.45804849940649,True,245.40610966614136,True,14.733981000259519,0.1404619999229908,195.78942599985749,18.07557399943471
2026_07_15_gym,flight_12,LOB,750,ok,True,44,45.0,89.91664221690115,75.6078903864727,True,248.1486846661816,True,14.974758999422193,0.1472960002720356,195.6658330000937,20.69412999972701
2026_07_15_gym,flight_12,LOB,800,ok,True,47,48.0,76.3185557931061,65.16967913610415,True,249.2745366670812,True,14.742370000109076,0.15353700052946806,196.73422199953347,20.97774100024253
2026_07_15_gym,flight_12,LOB,850,ok,True,49,50.99999999999999,40.194300011494896,69.49314102276479,True,268.4363146663333,True,14.966962999664247,0.15853700041770935,215.300241000019,21.34390699956566
2026_07_15_gym,flight_12,LOB,900,fit_failed,True,52,53.99999999999999,,,,,,,,,
2026_07_15_gym,flight_12,LOB,950,ok,True,55,56.99999999999999,156.7931465507406,118.74549450868952,True,293.8932956677551,True,14.704537000507116,0.17036999948322773,240.6678880006075,21.683834000490606
2026_07_15_gym,flight_12,LOB,1000,ok,True,58,59.99999999999999,170.80643098160417,130.27159038328017,True,352.64401766533655,True,14.92918499931693,0.17546300031244755,299.00059199985117,21.872110999189317
2026_07_15_gym,flight_12,LOB,1050,ok,True,61,62.99999999999999,64.30696050316706,63.0667472619698,True,285.1333696662138,True,15.231277999468148,0.1827219994738698,228.45031500048935,24.602388000115752
2026_07_15_gym,flight_12,LOB,1100,fit_failed,True,64,66.0,,,,,,,,,
2026_07_15_gym,flight_12,LOB,1150,ok,True,67,69.0,35.156961907165396,61.90649077867016,True,299.15248066714656,True,14.869000000879169,0.19409199990332127,242.24090699944645,25.181815000250936
2026_07_15_gym,flight_12,LOB,1200,fit_failed,True,69,72.0,,,,,,,,,
2026_07_15_gym,flight_12,LOB,1250,ok,True,72,75.0,73.29283013208665,53.45919181067318,True,363.7375546662758,True,14.97611099947244,0.20596299972385168,306.14516599942,25.743648000992835
2026_07_15_gym,flight_14,LOB,150,ok,True,10,9.0,619.2483241057254,658.161712438879,False,143.97483466627696,True,15.151871000416577,0.04627799987792969,90.60751899983734,21.50249999947846
2026_07_15_gym,flight_14,LOB,200,ok,True,13,12.0,388.41370622317703,359.8332733490665,True,155.52496266613403,True,14.879462999291718,0.0844809990376234,100.61607400048524,23.27827800065279
2026_07_15_gym,flight_14,LOB,250,ok,True,15,14.999999999999998,388.4133193731148,359.8337391364038,True,159.25381366784373,True,15.045684999786317,0.08901800028979778,107.06675900053233,20.38568500056863
2026_07_15_gym,flight_14,LOB,300,ok,True,18,18.0,125.63768290405825,109.43846101465815,True,175.3532956658552,True,14.657518999651074,0.09612900018692017,121.47123999986798,22.461740999482572
2026_07_15_gym,flight_14,LOB,350,ok,True,21,21.0,159.56676082908058,165.45512953925467,True,180.92874066873142,True,14.895296000875533,0.10250000096857548,125.70388900022954,23.56038899999112
2026_07_15_gym,flight_14,LOB,400,ok,True,24,24.0,117.922526165536,128.89088829524547,True,177.1247966668258,True,14.799684999510646,0.10961100086569786,124.9444629997015,20.6043710000813
2026_07_15_gym,flight_14,LOB,450,ok,True,27,26.999999999999996,156.93481474188317,148.88649137417593,True,192.62109266749272,True,15.104203999973834,0.11327800061553717,139.71657400019467,21.02037000004202
2026_07_15_gym,flight_14,LOB,490,ok,True,29,29.4,168.13316922405312,155.4212819920215,True,245.6383506671215,True,14.785741000436246,0.11736999917775393,192.58544400054961,21.48312900029123
2026_07_15_gym,flight_14,LOB,500,ok,True,30,29.999999999999996,157.0694106130196,147.6473211938442,True,202.2204796678076,True,15.078370000235736,0.12051799986511469,148.96748100034893,21.387444000691175
2026_07_15_gym,flight_14,LOB,550,ok,True,33,33.0,156.93872210879135,150.3404766167941,True,212.74959266620377,True,14.837555999867618,0.1289079999551177,159.01840700022876,22.098054999485612
2026_07_15_gym,flight_14,LOB,600,ok,True,36,36.0,134.61750561271444,134.07570372183275,True,224.97320266688862,True,14.775315000675619,0.1319439997896552,169.08792500011623,24.311351999640465
2026_07_15_gym,flight_14,LOB,650,ok,True,39,39.0,106.00517773107836,108.17897539384816,True,227.69672266642252,True,15.151796999387443,0.1381669994443655,178.66585200000554,17.074240000918508
2026_07_15_gym,flight_14,LOB,700,ok,True,42,42.0,179.15931117358951,167.00000001508442,True,271.5420746651168,True,15.063408000394702,0.14472199883311987,220.36286999937147,19.30440799985081
