bin,T_ms,n_airborne,n_fit_ok,position_error_median_mm,position_error_iqr_mm,velocity_error_median_mm_s,velocity_error_iqr_mm_s,hit_miss_accuracy,latency_median_ms,latency_iqr_ms,latency_feasible_frac
FLAT,150,35,30,183.38243319012133,168.86661813465722,406.10893086386073,353.26640686472336,0.9666666666666667,117.09522266608353,3.370415748562664,1.0
FLAT,200,35,35,135.11540202908654,116.26123087724287,316.2209893458483,215.80126698822383,1.0,129.51755466653654,2.010528499726206,1.0
FLAT,250,35,35,107.29918554602332,68.6188530070441,250.00087374913952,181.88084021381667,0.9714285714285714,138.28129666640112,4.189954500645399,1.0
FLAT,300,35,35,80.47811049792786,67.33239530831456,208.80691158423,142.25888237814158,1.0,144.83090766581395,5.557629000395536,1.0
FLAT,350,35,35,63.8768837668463,52.68361124643005,170.1391017619716,94.58858906385515,1.0,155.229387664857,4.3098690011538565,1.0
FLAT,400,35,35,48.67351837195135,57.97485173504006,125.66822226763963,85.20233375822932,1.0,163.5530546667675,7.597592001780868,1.0
FLAT,450,35,35,41.06598219757856,36.286991819977935,119.10223875661498,92.75905267957812,1.0,173.48436966600516,8.090508000459522,1.0
FLAT,490,35,35,38.75388244376335,40.42825439550315,103.96795065157794,79.39365390742503,1.0,176.26490566755334,8.839166999328882,1.0
FLAT,500,33,35,37.974623236249734,28.41821255719951,95.93940637416436,58.623032347398066,1.0,183.64738866562644,7.3147499999031425,1.0
FLAT,550,26,35,24.30040607375521,28.045268485870686,64.99143821192288,62.75621536531434,0.9714285714285714,187.69066866735616,3.568102501798421,1.0
FLAT,600,17,35,21.873927404939558,14.860122197068105,51.456420728794654,33.12695686540177,1.0,192.2545186659942,7.902655999176204,1.0
FLAT,650,6,35,24.30040607375521,20.55793039520706,49.623343000279,41.07111102878605,1.0,195.57422166566053,7.943731000646949,1.0
FLAT,700,1,35,20.349454189574157,19.775803092043752,55.797903684176646,34.1285392324376,1.0,201.48742466668287,15.511629500892013,1.0
FLAT,750,0,35,20.349454189574157,25.83761931089892,55.797903684176646,55.48099002149182,1.0,201.69644366732487,14.390999501105398,1.0
FLAT,800,0,35,20.366012790231146,20.22947409794049,55.63288974193579,52.59359933162125,1.0,201.93564966662476,16.138944000937045,1.0
FLAT,850,0,35,20.349454189574157,17.05210589019706,54.71911209067545,52.74254643537003,1.0,201.81398066754141,14.908111500088125,1.0
FLAT,900,0,35,20.349454189574157,17.05210589019706,54.71911209067545,52.74254643537003,1.0,201.83170366721848,14.626639999914914,1.0
FLAT,950,0,35,20.349454189574157,17.05210589019706,54.71911209067545,52.74254643537003,1.0,201.77301766599217,15.738445500843227,1.0
FLAT,1000,0,35,20.349454189574157,17.05210589019706,54.71911209067545,52.74254643537003,1.0,201.772370668749,19.373629500623792,1.0
FLAT,1050,0,35,20.349454189574157,17.05210589019706,54.71911209067545,52.74254643537003,1.0,201.92529566554973,14.955758498981595,1.0
FLAT,1100,0,35,20.349454189574157,17.05210589019706,54.71911209067545,52.74254643537003,1.0,201.76344366713116,14.721082500182092,1.0
FLAT,1150,0,35,20.349454189574157,17.05210589019706,54.71911209067545,52.74254643537003,1.0,201.66699866733202,18.206758499145508,1.0
FLAT,1200,0,35,20.349454189574157,17.05210589019706,54.71911209067545,52.74254643537003,1.0,201.91627766533443,15.605268500279635,1.0
FLAT,1250,0,35,20.349454189574157,17.05210589019706,54.71911209067545,52.74254643537003,1.0,201.6144246670107,17.341268999967724,1.0
MID,150,12,7,170.8680020357907,264.0895409686739,205.87431632266765,269.7280416390633,1.0,128.1382766670237,11.952044499572352,1.0
MID,200,12,10,122.15302244589458,208.33133652852658,195.59119441552278,181.56882435265675,0.9,137.485926166332,3.210102500859648,1.0
MID,250,12,10,177.83675266904402,96.6310325822278,219.33627820565874,102.97769112916632,0.9,147.29057316637287,11.533787498483434,1.0
MID,300,12,12,128.9477170621231,325.5756293630556,172.64849191645956,280.5180686733254,0.8333333333333334,158.31762916749963,12.192662000656128,1.0
MID,350,12,12,95.06596024497448,150.26129434034894,139.6145771700967,71.26224196249652,0.9166666666666666,168.84183366658786,8.744990499690175,1.0
MID,400,12,12,109.81881174504501,116.26499839220786,146.09008486337942,129.40547573349045,1.0,179.79561116748178,12.60047250171192,1.0
MID,450,12,12,77.78413758478086,69.88097350868853,110.1339753680999,50.50175446274832,1.0,190.27740616599718,17.58832075004466,1.0
MID,490,12,12,85.54435832017543,89.47830612827475,126.63910847924599,72.72574975019238,1.0,194.6576391669611,14.860935249598697,1.0
MID,500,12,12,65.47600331803855,83.2563727697736,102.45416690114803,73.82486125753132,1.0,205.73321316732714,21.986495500430465,1.0
MID,550,12,12,67.06261835530862,59.91617302521493,102.32271133604229,48.67322546073369,1.0,207.98158316562572,12.999292500317097,1.0
MID,600,12,12,54.87596684358331,63.707658008576495,84.73901812903964,72.8915374360849,1.0,214.84463916548216,14.83648574957624,1.0
MID,650,12,12,37.62558441134969,56.811014520594256,56.95537763851979,72.60085977463103,1.0,229.30508316649744,19.956327751511708,1.0
MID,700,11,12,43.3554496060695,57.97556676167302,63.66932977081221,72.84787121320689,1.0,233.46905466836566,22.431478501996025,1.0
MID,750,10,12,54.48220412768785,42.15299847848705,57.64678290596507,67.25612405758159,1.0,245.06203666764,32.79162624874155,1.0
MID,800,9,12,30.796807139098178,57.10576235820914,48.99618156711213,98.57751781993798,1.0,244.05577816596875,32.122619750211044,1.0
MID,850,9,12,32.257769899168366,32.07245508722987,65.5562467362542,67.28967203364226,1.0,255.87469416686025,25.158642998663737,1.0
MID,900,7,12,35.99060027516822,36.89698706641357,38.89903605525048,46.660721698006384,1.0,261.6943706671397,41.19778299983594,1.0
MID,950,7,12,41.58303317385642,39.18754126612245,59.233717863426556,46.27408081878494,1.0,264.9347956671069,47.539602750213845,1.0
MID,1000,5,12,35.87205840067773,38.103474150133465,43.380542637125856,56.864397652882694,1.0,271.3102961673091,47.757773999590455,1.0
MID,1050,5,12,39.902489792795905,26.835129369418432,50.37241123844361,37.50171857156205,1.0,283.19099966591847,49.59696774929765,1.0
MID,1100,2,12,26.260818662496366,34.563366261780615,44.9115512852502,31.00293900877986,1.0,280.3458336653809,55.66167100192982,1.0
MID,1150,0,12,27.309268257635907,34.619600337782785,48.23048991227155,42.65504454175337,1.0,283.6834446672971,70.27698525041345,1.0
MID,1200,0,11,26.60945149407827,30.083315159207714,48.073268443281634,38.684018876782616,1.0,274.2237596657748,52.64630499947819,1.0
MID,1250,0,12,26.260818662496366,35.890299353922735,39.15863269781398,34.284448360482045,1.0,285.64451766728115,57.126333999680384,1.0
LOB,150,60,25,549.4608927686296,427.60252357592714,507.39090581670854,354.65108853307873,0.6,139.6481286684672,9.105259998701513,1.0
LOB,200,60,45,391.5251457854763,410.4118428527744,406.83814304507524,464.3647053965819,0.7333333333333333,147.50098166676858,13.056349999271333,1.0
LOB,250,60,51,373.8779620568085,370.58753801281046,415.6169896225403,310.5133993788596,0.803921568627451,156.44420466820398,10.335316501092166,1.0
LOB,300,60,59,340.78865412011527,310.16081032026614,337.3726834139691,335.31597455469455,0.8305084745762712,169.59900066784272,12.823175499681383,1.0
LOB,350,60,60,248.46219646919405,272.56172986963213,236.84314741727673,340.4810743707051,0.8166666666666667,178.8123791675704,11.280796750448644,1.0
LOB,400,60,60,224.3717941657095,154.43576009292988,217.80287251965126,200.00041311628473,0.9,185.69384216765562,11.457522000418976,1.0
LOB,450,60,59,178.45633018386926,153.9424729605004,193.84958342108303,161.54591700331255,0.9661016949152542,195.44197966686139,13.061944499611855,1.0
LOB,490,60,59,156.31315769249494,136.09533390407472,167.44325609540604,195.62697323144943,0.9491525423728814,202.25629466834167,12.532776499167085,1.0
LOB,500,60,59,171.84896572592095,126.2105737751225,163.01555331981405,171.75254636512776,0.9491525423728814,202.28846266741553,15.2606385005638,1.0
LOB,550,60,59,145.73058482678027,107.33036449723149,159.10555925297624,138.6355471661168,0.9491525423728814,215.5938526658962,14.938916500657797,1.0
LOB,600,60,60,115.0108881522815,101.49461781388668,144.08686201546107,142.44181586238898,0.9833333333333333,227.6101941668118,11.392815498402342,1.0
LOB,650,60,60,110.12788043107683,66.02334121681099,113.83864149260205,84.6914103572583,0.9833333333333333,228.84234216545397,16.92957899859175,1.0
LOB,700,60,60,90.66969058432895,69.14585748635244,106.06727488722893,82.61037402524896,0.9833333333333333,244.06628616635376,21.616404500324307,1.0
LOB,750,60,60,91.10813653894712,71.38146888064519,90.34730783005224,74.81285070406786,1.0,248.10527716685706,17.315523501252784,1.0
LOB,800,60,59,76.67311600654273,56.319400785078365,89.81004322472343,67.31436076229701,1.0,255.48475766616562,19.268370502628414,1.0
LOB,850,60,60,64.67847503488971,51.18898387740161,70.95019121132547,60.25931518018769,1.0,263.4194536680977,18.741161501500756,1.0
LOB,900,60,59,63.56464081633558,49.049842678320324,70.19560272981218,59.771926374300236,1.0,273.1426286675657,22.85987100051716,1.0
LOB,950,60,60,54.64710419503987,47.74418463661796,64.14806155803257,61.15319140271151,0.9833333333333333,282.8118986656579,21.589685000944883,1.0
LOB,1000,60,60,51.2458598514453,36.92050706460577,58.80996706797649,51.321986099607514,1.0,288.8230641667421,26.946281999116763,1.0
LOB,1050,59,60,44.49857423292384,35.85677341246368,55.15765367388396,36.48189502650173,1.0,295.0256296663235,25.873318248661235,1.0
LOB,1100,55,56,39.28047420549696,39.03414204023347,42.07831583633286,41.95637218755361,0.9821428571428571,303.49869366611046,25.000056497985497,1.0
LOB,1150,48,60,34.85421481598918,37.51535476831624,42.59462301411859,44.23589113257829,1.0,311.1607226675066,18.454440250294283,1.0
LOB,1200,37,59,34.35048696573446,24.034741568917557,41.224023026290965,38.67042512855591,1.0,310.22124066731584,19.988825000356883,1.0
LOB,1250,29,59,34.168471762992496,30.207898054879248,42.31700448794896,27.00001556378852,1.0,317.6476666663463,22.70313800079748,1.0
