frame_number,u,v
62,254.8784,659.3005
63,277.4770,665.6381
64,300.0057,672.6589
65,323.2488,679.8097
66,346.6592,681.7717
67,371.1813,692.8032
68,396.3643,699.3312
69,423.7646,705.2587
70,447.2219,716.1422
71,474.0681,723.4567
72,503.0769,736.0964
73,531.4240,743.9383
74,559.6965,752.4943
75,588.0930,762.7051
76,615.1847,776.5894
77,647.6387,779.3596
78,672.5952,796.0746
79,702.5875,809.0266
80,733.2632,821.7048
81,759.7491,830.4255
82,789.6085,844.2805
83,816.0984,855.7152
84,846.6767,862.6852
85,874.0889,882.1776
86,903.7786,891.5115
87,921.5440,900.8726
88,945.3205,920.0862
89,966.6180,932.2764
90,995.0724,938.9465
91,1014.1004,959.8041
92,1033.7174,979.5969
