frame_number,u,v
21,117.6004,588.4235
24,148.1963,555.5481
25,1006.7157,645.5539
26,156.6111,515.9646
28,1033.7995,662.9809
29,187.2104,479.9208
31,212.7605,461.8083
33,224.9542,434.6630
34,240.8151,429.8093
35,243.2612,416.6707
36,252.5949,407.0447
37,262.7771,399.8476
38,273.7289,390.6783
39,283.1077,384.2315
40,293.2038,377.1921
41,303.8059,370.2526
42,313.5100,364.2217
43,322.8364,359.5097
44,333.6003,354.1968
45,342.6811,350.1650
46,350.2685,346.7974
47,359.8561,342.4834
48,368.8182,339.7085
49,378.1075,337.2098
50,385.9209,333.9852
51,394.0249,332.0176
52,402.7225,329.9625
53,410.2085,328.1514
54,419.3661,327.3624
55,429.1731,327.1207
56,436.7850,327.1133
57,446.6536,327.6674
58,455.6534,328.6046
59,464.1065,330.1241
60,473.0986,332.0729
61,482.3011,334.0079
62,491.0738,336.4208
63,500.2240,340.0546
64,509.3270,343.3232
65,518.5102,346.7230
66,527.2493,352.4751
67,536.4790,356.8206
68,545.3831,361.2300
69,554.4902,368.9366
70,563.6625,373.6740
71,571.0633,380.5593
72,580.9832,388.1785
73,590.6418,394.4699
74,599.2275,401.1032
75,608.4463,407.8753
76,618.0493,418.5595
77,625.3829,427.1373
78,634.9806,436.5670
79,644.9448,448.0605
80,653.9851,460.5141
81,665.2970,471.9035
82,674.8363,484.5468
83,684.1536,500.2657
84,693.4793,511.3788
85,704.5542,526.8354
86,714.1865,544.9190
87,722.3279,555.5504
88,736.3448,576.9291
89,741.1490,588.3139
90,751.5465,606.1889
91,762.4394,623.6447
92,770.6992,637.7775
93,782.7864,661.6577
94,792.4705,674.3897
95,802.0018,693.5131
96,811.0262,720.3865
97,818.9144,740.5325
98,828.7781,754.3631
99,839.7548,780.4709
100,848.4041,796.6970
101,857.3611,817.8513
102,866.8370,845.6184
103,878.9856,862.2714
104,886.8113,883.3308
105,892.5934,912.4571
106,900.8976,932.2421
107,906.4300,953.5893
108,915.2071,976.5583
