frame_number,u,v
40,310.7684,611.6554
41,325.5263,600.4688
42,336.8986,583.1216
43,348.3485,564.3979
44,360.6302,548.6562
45,373.2034,535.8797
46,382.7858,516.5609
47,397.3636,503.3126
48,409.7171,491.9166
49,414.9022,472.1140
50,434.2056,463.1256
51,447.3442,453.7522
52,454.8163,432.2721
53,467.0275,427.1108
54,482.8015,418.0939
55,489.2756,402.0644
56,501.3383,393.1104
57,517.2339,387.5352
58,528.7027,373.0274
59,539.4841,369.7968
60,552.6801,363.2694
62,575.9400,349.4420
63,588.0056,343.8604
64,597.9404,334.2891
65,612.6905,331.7806
66,622.2284,323.7195
67,629.6719,318.8046
68,643.8159,320.6077
69,654.2600,315.6007
70,663.6880,310.1402
71,676.8041,312.5152
72,687.0870,309.0852
73,696.6125,306.0283
74,709.9631,306.3247
75,720.6705,304.4591
76,729.5522,303.5453
77,742.3430,305.3689
78,752.8762,304.7344
79,761.4951,306.9768
80,773.2758,308.0678
81,784.8176,309.1949
82,795.1968,310.8052
83,807.3131,313.1539
84,818.4496,315.8471
85,830.0060,318.4247
86,840.5021,321.8019
87,851.4895,324.3214
88,864.0681,326.9210
89,873.6742,334.0319
90,882.0243,337.4940
92,904.4169,348.7338
93,912.2740,352.9119
94,923.6785,357.8979
95,939.1820,370.0962
96,946.1151,373.5784
97,957.1483,381.9335
98,972.2113,394.6200
99,979.6918,399.2977
100,992.2112,407.5409
101,1003.5549,420.9658
102,1015.9182,427.4558
103,1027.3373,437.4480
104,1036.8862,456.2282
105,1050.4300,461.1225
106,1062.3005,473.9321
107,1073.5871,489.6135
108,1085.3865,500.2939
109,1096.7269,514.5931
110,1105.1884,535.4515
111,1119.5061,543.6861
112,1130.6112,559.7181
113,1136.9495,581.7674
114,1152.0806,591.9809
115,1160.5355,614.4955
116,1173.1111,623.8793
117,1181.0505,640.4125
118,1192.6820,660.7921
119,1203.6819,684.2200
120,1209.4837,704.0178
121,1222.0970,718.9169
122,1225.4216,742.4776
123,1235.3314,757.7529
124,1248.2741,772.8329
125,1253.5608,794.2624
126,1262.1862,811.8864
127,1271.9285,834.4981
128,1275.1208,856.7703
129,1284.1034,877.0126
130,1281.2312,897.7109
131,1289.0378,917.9757
132,1294.8769,934.4852
133,1299.4893,955.4180
