frame_number,u,v
50,176.2230,608.7006
51,188.2315,596.2327
52,201.2368,582.1556
53,203.7977,569.3533
54,220.3108,557.2514
55,234.2940,540.6273
56,242.7432,523.0596
57,255.6083,513.9068
58,269.8498,502.2741
59,277.1566,486.4882
60,289.6052,477.3307
61,305.2373,468.9069
62,309.9832,453.8304
63,322.0560,442.1810
64,341.7173,439.4400
65,345.1265,425.0414
67,372.4432,417.4836
73,447.0869,374.9944
75,470.7362,366.3586
76,482.4381,362.8627
77,489.8314,358.9581
78,504.4250,357.0624
79,514.1487,356.7502
80,525.7331,352.7187
81,534.8130,351.1952
82,548.9332,350.7130
83,558.4303,349.3565
84,570.6698,349.4552
85,582.0992,350.9159
86,592.4216,349.5367
87,605.1194,351.2046
88,615.7616,352.8173
89,626.1736,353.0104
90,639.3987,356.1547
91,649.7224,358.8708
92,659.7480,360.4160
93,673.2282,364.7262
94,683.6274,368.7592
95,694.2058,371.4514
96,708.1679,376.7132
97,719.4734,381.8465
98,730.8590,385.7136
99,743.7693,394.1073
100,754.5753,400.1331
101,766.5065,405.8690
102,779.1270,415.9364
103,789.9739,422.1571
104,803.0219,428.8294
105,815.4050,441.1779
106,825.7228,448.1252
107,839.3948,457.3111
108,851.4110,471.5181
109,862.7154,479.4451
110,875.7645,489.0199
111,887.3881,505.0002
112,897.0635,511.9411
113,909.7651,524.1520
114,923.8056,544.4333
115,933.5812,557.9720
116,950.8827,572.3456
117,961.0663,587.1356
118,970.5776,601.3918
119,982.3639,614.6100
120,995.8866,634.2399
121,1006.8545,654.4543
122,1019.5624,670.9208
123,1036.2715,671.7148
124,1042.2024,704.3449
125,1047.6064,722.6996
126,1059.9598,736.1994
127,1072.5230,749.7586
128,1079.8416,768.9746
129,1087.7264,792.5272
130,1097.6458,806.1957
131,1105.9203,826.0132
132,1114.0125,850.2397
133,1122.5191,863.6284
134,1130.4363,883.2026
135,1137.2117,907.3982
136,1142.1227,926.9536
