frame_number,u,v
38,340.6600,750.8287
39,352.8645,737.9611
40,363.5492,721.5911
41,373.7157,707.6791
42,388.0658,695.0384
43,399.0668,683.9467
44,409.6809,669.2893
45,423.8029,662.9111
46,436.3426,650.6583
47,447.6132,639.7130
48,460.3805,628.2499
49,472.3280,618.0512
50,483.4540,611.3782
51,503.2880,596.2732
52,516.5457,588.2691
53,529.6137,581.1490
54,542.0141,576.9721
55,554.1312,568.8734
56,564.7540,556.8276
57,580.0981,553.1355
58,596.9963,545.9621
59,609.8487,541.2581
60,622.9147,540.0657
61,634.9366,535.7537
62,646.5951,526.5126
63,663.6417,525.5829
64,678.6143,520.2751
65,693.7236,520.7967
66,704.5797,520.9109
67,716.3055,520.2448
68,728.2107,518.0125
69,744.0043,517.8755
72,790.8981,520.2853
73,805.2710,522.2185
74,818.6356,526.3738
75,830.6348,531.8338
76,843.1498,533.8806
77,855.3100,535.7258
78,871.0070,541.1876
79,887.8995,544.0359
80,902.9322,552.7316
81,914.1355,562.8175
82,924.2668,567.0883
83,942.5191,575.6472
84,956.7409,586.2664
85,971.2287,588.1040
86,986.4083,601.7444
87,998.8197,609.2689
88,1005.5423,625.5587
89,1023.4218,634.0174
90,1039.4905,644.9719
91,1059.0506,651.5683
92,1073.5673,662.4039
93,1085.6420,678.9084
94,1099.4652,698.9326
95,1108.8033,711.3462
96,1119.2967,730.0283
97,1130.9605,746.1296
98,1140.5863,760.0857
99,1156.5487,768.9193
100,1172.9362,778.9907
101,1186.2500,796.9071
102,1192.3782,817.5566
103,1203.4393,831.6883
104,1212.8466,853.1032
105,1225.2404,867.5192
106,1230.2333,881.8278
107,1241.4815,904.5125
108,1249.7241,924.2708
109,1255.0192,945.4868
110,1267.7045,954.5341
111,1274.0051,983.1090
