frame_number,u,v
17,301.0303,750.7288
18,314.0931,734.0581
19,324.5572,721.0923
20,335.4718,704.8928
21,345.2727,687.1586
22,353.8372,674.6520
23,363.3753,656.3926
24,379.2990,644.2936
25,390.3038,631.5236
26,403.1920,614.5997
27,412.3130,600.5459
28,424.6225,592.3230
29,434.7027,576.9408
30,446.3446,566.7189
31,458.8630,556.7186
32,469.1421,544.1880
33,480.9270,533.2717
34,495.0772,524.3633
35,500.7134,510.7159
36,516.9912,508.3620
37,528.2817,501.2264
38,536.9736,491.1247
39,549.6710,485.3747
40,561.7190,478.7792
41,569.5512,471.1346
42,585.0827,463.8559
43,601.4360,456.5092
44,606.8082,448.9050
45,619.0229,450.6438
48,655.2641,442.1269
49,666.3996,441.8848
50,677.1158,436.0720
51,687.2939,439.5491
52,699.5787,435.2500
53,708.4977,437.3988
54,718.5516,438.0770
55,728.0022,437.8134
56,737.5559,436.6624
57,748.7732,438.2321
58,760.5121,439.9744
59,772.9356,442.5358
60,787.1568,445.6689
61,800.0720,449.7766
62,806.9748,453.2981
63,817.8014,464.7183
64,823.7584,466.0804
65,836.9814,471.0699
66,849.1456,477.5477
67,859.3200,482.4828
68,871.6081,490.1872
69,882.2637,498.9006
70,904.6607,502.7369
71,914.9410,512.3785
72,919.4611,524.0749
73,933.1797,530.3073
74,941.4834,543.6765
75,952.8005,557.6962
76,964.8569,568.0296
77,973.0725,577.2911
78,986.7458,592.9802
79,993.9048,606.6556
80,1003.8548,617.6837
81,1017.0900,635.5946
82,1026.7409,648.1494
83,1036.6287,661.3738
84,1053.2235,671.6275
85,1062.0486,694.2302
86,1070.3386,712.3200
87,1080.9694,729.6258
88,1089.1902,742.7741
89,1098.1899,759.9621
90,1106.1495,775.2758
91,1116.2572,792.4376
92,1127.0985,809.0743
93,1138.6538,832.7888
94,1148.2051,842.4758
95,1156.3817,862.4481
97,1176.2186,902.7993
98,1176.9487,924.8906
99,1183.5859,945.9988
100,1187.5414,969.8381
