frame_number,u,v
46,182.7154,617.3252
47,202.7201,614.5000
48,221.3038,620.7553
49,238.2210,619.0174
50,256.4394,616.4937
51,280.0667,618.6687
52,297.2695,617.5411
53,315.8934,613.9483
54,334.7189,614.8431
55,354.6076,614.3095
56,377.0465,612.7427
57,397.5905,616.3259
58,420.8717,615.2840
59,442.7772,617.5470
60,466.5696,621.4260
61,489.2830,623.5712
62,510.6375,626.0220
63,535.0813,629.1614
64,563.5939,636.2641
65,589.1826,637.6525
66,613.4152,648.8875
67,641.0199,651.7250
68,662.9612,654.0147
69,692.1329,670.5494
70,719.6742,674.9468
71,747.9453,681.9143
72,769.7880,695.7841
73,799.2685,696.4700
74,822.6110,705.9877
75,845.9763,722.4795
76,872.4477,734.1541
77,898.5319,740.2012
78,919.9118,753.2589
79,944.5652,766.0610
80,971.3250,771.8997
81,990.3596,788.7944
82,1014.0541,795.2124
83,1038.1508,806.6300
84,1060.9981,824.8585
85,1084.5804,830.7976
86,1101.0359,843.9597
87,1117.4877,861.9658
88,1139.1265,868.7203
89,1160.0481,884.3265
90,1171.7274,904.6216
91,1186.9136,911.3196
92,1201.6091,924.2063
