frame_number,u,v
25,342.4339,678.7130
26,362.3799,674.9260
27,389.5030,674.2857
28,410.9895,667.9637
29,434.8184,663.8193
30,461.7620,661.0098
31,483.8994,657.9729
32,512.7244,652.1452
33,539.4301,650.6574
34,562.0042,647.5164
35,589.8101,646.4667
36,618.2067,645.4910
37,644.4989,643.1889
38,675.5415,643.4573
39,703.8316,644.5546
40,732.1805,644.6332
41,761.3579,646.6685
42,790.1314,648.9344
43,819.1400,650.8114
44,848.5727,651.6465
45,878.4659,654.6589
46,906.4348,658.1844
47,934.7394,661.2840
48,963.5301,666.3812
49,989.7333,672.7698
50,1018.2978,676.7129
51,1049.2849,682.6159
52,1076.1538,688.7491
53,1104.3680,691.5762
54,1128.0594,706.1206
55,1155.2302,711.5266
56,1183.6914,714.7421
57,1210.6017,719.5382
58,1235.5986,729.8841
59,1252.0286,746.1882
60,1276.3309,748.0000
63,1332.3252,782.5197
64,1353.0571,788.2648
65,1369.6905,799.0910
66,1386.2646,809.2071
67,1401.1515,818.8042
68,1416.2406,830.1115
69,1431.0827,840.0382
70,1448.5187,849.1154
71,1452.6525,862.0887
