frame_number,u,v
41,244.9839,670.8097
42,267.3632,682.1872
43,295.0451,688.8438
44,322.5066,695.6927
45,349.6340,706.7191
46,377.4581,718.3764
47,405.7316,729.0128
48,432.9293,739.4100
49,470.6289,748.5128
50,495.7764,759.4725
51,533.9822,776.8896
52,565.7861,785.8557
53,596.7602,801.4017
54,635.3839,818.4230
55,673.8556,831.2914
56,703.6952,844.2019
57,741.3156,862.7720
58,778.5131,869.9126
59,812.3269,889.9858
60,846.1193,906.8776
61,880.9970,913.8139
62,915.6727,935.3416
63,945.9065,947.0630
64,976.9670,963.0729
65,1007.3301,980.7845
66,1037.4255,994.9468
