frame_number,u,v
37,381.3788,684.5802
38,406.9328,688.8500
39,429.4450,685.9561
40,450.2811,683.9449
41,474.3652,686.2925
42,495.7922,686.1575
43,518.6995,685.2269
44,541.3754,688.0326
45,564.0236,689.4977
46,586.7661,686.2530
47,608.3863,693.2264
48,632.5409,694.9688
49,655.4444,695.8448
50,678.7339,702.6907
51,699.8068,705.4709
52,722.4461,702.9957
53,740.6656,713.8650
54,767.8159,718.9756
55,792.2699,719.1354
56,816.9727,733.8997
57,837.9446,739.4552
58,857.9246,743.2449
59,882.3617,753.9938
60,905.7069,755.8641
61,929.4110,763.1246
62,946.4111,776.9942
63,966.7269,788.1248
64,985.1983,796.9006
65,1004.5346,800.4214
66,1027.2477,799.1216
68,1063.1829,828.7518
69,1084.5013,836.2892
70,1094.3287,849.7779
71,1111.3784,862.2408
72,1130.0149,865.0886
73,1146.9813,875.2320
74,1158.8740,890.2004
75,1173.2463,900.7493
76,1187.6125,910.9737
77,1200.3333,923.5475
78,1210.9459,935.2422
79,1222.7285,951.2385
80,1238.0077,954.2541
81,1246.1919,973.5472
