frame_number,u,v
47,299.2274,760.5891
48,312.1337,743.0846
49,326.5587,733.1980
50,337.2954,721.3793
51,346.6908,708.7655
52,360.6764,694.9830
53,370.4076,684.0794
54,377.7568,664.8802
55,396.8422,661.3562
56,408.8915,650.1179
57,421.6107,637.2864
58,437.0825,631.0433
59,450.8645,619.3614
60,461.4439,612.1204
61,473.0700,604.2706
62,486.4871,593.9861
63,498.2846,585.8817
64,512.6052,579.7538
65,524.7464,570.4986
66,534.3626,563.8709
67,550.4280,562.5138
68,562.5885,556.4737
69,575.9847,552.4332
70,589.7360,550.4997
71,600.2897,545.9191
72,611.8580,541.1623
73,627.5475,536.9520
74,637.6920,530.0132
76,671.2166,530.9172
78,698.6282,528.1997
79,711.1468,535.5314
80,723.3605,534.9250
81,739.1764,535.1020
82,751.4567,539.7451
83,763.2264,542.7488
84,775.3012,545.0619
85,788.6188,548.5252
86,802.2479,549.2781
87,816.7263,553.0359
88,830.3301,561.4874
89,843.2531,563.3269
90,855.5931,575.0679
91,868.1976,582.7599
92,881.5140,588.3649
93,894.7716,595.9412
94,909.5488,601.6104
95,920.6790,612.2341
96,933.8239,618.0208
97,950.5568,630.5993
98,965.4774,637.1095
99,977.0199,653.2430
100,989.1724,663.3813
101,1004.9769,681.8325
102,1015.3380,692.3054
103,1027.8405,703.6290
104,1038.4255,719.7049
105,1052.7585,733.6189
106,1065.2139,748.6381
107,1076.4140,763.4241
108,1088.8093,774.9273
109,1100.2123,786.7356
110,1115.2812,800.5782
111,1123.3567,817.3158
112,1133.1920,836.4369
113,1141.4634,849.6820
114,1153.2270,866.0763
115,1164.2476,880.8751
116,1173.9136,894.7461
117,1184.3128,913.3538
118,1194.1048,933.7275
121,1211.6131,998.7545
