frame_number,u,v
39,190.2105,632.3128
40,210.9980,634.3940
41,232.4937,637.1518
42,257.2644,646.8739
43,279.4601,646.8292
44,303.1828,652.2256
45,327.7137,658.9858
46,350.9830,663.9981
47,376.3487,669.3669
48,401.5451,677.1597
49,425.0140,682.9108
50,448.8488,689.4024
51,474.5321,699.9918
52,499.9646,706.7673
53,526.2606,714.8984
54,552.1832,724.7387
55,576.7129,732.3404
56,601.5614,742.0107
57,630.2937,749.6404
58,658.1906,761.2264
59,684.3384,772.6243
60,707.5362,782.7197
61,730.1664,791.5693
62,756.8335,801.5087
63,781.2449,813.8909
64,806.3681,822.5479
65,831.1564,830.1643
66,851.7619,847.2343
67,875.2752,861.3851
68,898.7005,866.5091
69,915.7619,881.1235
70,932.3121,901.0206
71,955.5740,896.7984
72,974.6075,915.5977
73,996.1086,920.1444
74,1010.7280,937.2729
75,1032.6978,946.4916
