frame_number,u,v
50,347.9574,673.1370
51,369.6752,664.6943
52,391.0659,668.4313
53,412.9674,665.9665
54,434.4806,663.6556
55,457.6451,662.9205
56,480.0280,659.7076
57,504.4561,659.9015
58,529.3598,659.1594
59,553.3310,655.7958
60,577.8323,656.2348
61,600.2769,657.4350
62,622.7155,658.4766
63,645.6391,660.3434
64,670.1055,662.4644
65,694.7212,664.5171
66,718.6387,667.7597
67,743.7916,672.5022
68,764.7765,672.8584
69,789.8266,676.2594
70,814.3798,684.2824
71,840.2145,681.2328
72,861.7392,690.4924
73,886.7544,699.0074
74,906.9013,699.7869
75,927.2788,713.1981
76,949.8136,722.5746
77,970.2315,724.4632
78,989.3250,735.8923
79,1008.7279,743.8184
80,1030.8608,755.1327
81,1049.7707,765.2373
82,1067.6523,773.7436
83,1086.4693,776.3954
84,1107.9891,781.1369
85,1128.1302,791.9661
86,1146.6258,802.6237
87,1159.9537,815.7878
89,1188.7434,837.3538
90,1202.5085,848.3624
91,1217.1187,859.2703
92,1228.0082,871.7641
93,1242.6929,881.1438
94,1256.3657,891.8292
95,1270.0827,904.2542
96,1278.4269,919.4690
97,1289.1121,932.5591
98,1306.3867,936.9178
99,1310.1039,956.4521
