frame_number,u,v
46,323.2254,677.6562
47,338.4062,671.6823
48,361.5920,671.9026
49,384.2633,666.5039
50,406.4062,666.0198
51,431.6355,668.3326
52,453.3245,663.4412
53,478.1270,663.8970
54,508.7122,664.4321
55,529.0514,664.4202
56,554.3542,666.1574
57,577.0124,667.3863
58,601.4705,667.3981
59,626.6006,669.1359
60,653.6295,672.4833
61,676.9919,674.3940
62,703.3969,675.0753
63,728.4072,682.0172
64,753.6031,683.2241
65,784.4567,687.7890
66,808.8404,694.6962
67,830.4342,697.6911
68,854.0790,706.4025
69,879.4230,715.1807
70,903.3949,713.3711
71,926.9363,726.3822
72,950.9795,737.4083
73,978.8081,742.8250
74,999.5559,748.7840
75,1017.9931,760.7263
76,1040.8780,774.7516
77,1062.0561,782.0484
78,1078.8427,789.0538
79,1099.3222,795.4419
80,1119.9243,806.2826
81,1140.6637,817.3479
82,1161.0550,826.1555
83,1178.8832,837.7593
84,1195.9434,850.7684
85,1213.0761,859.7911
86,1228.1366,872.6821
87,1239.0722,885.8653
88,1259.5263,894.8728
89,1268.1457,909.4320
90,1275.7135,924.7104
92,1303.9809,941.0297
