frame_number,u,v
24,159.8857,598.3992
25,169.8202,583.7923
26,179.5349,565.1573
29,217.7622,537.1541
30,229.2301,524.4227
31,238.6840,507.0934
32,252.3517,502.4994
33,263.4342,492.3945
34,275.1001,477.1392
35,288.9240,469.7564
36,301.4356,459.2559
37,313.6402,451.0084
38,328.7122,444.0036
39,339.5823,436.7154
40,350.8894,431.0191
41,362.6072,425.3394
42,374.8123,419.5110
43,387.0707,414.3149
44,400.7626,409.3730
45,413.0086,404.3467
46,425.4593,400.6837
47,438.4172,395.6611
48,450.1287,391.5826
49,462.0599,389.1383
50,476.6689,387.9773
51,488.2194,384.9063
52,500.7588,383.6923
53,514.4007,383.3911
54,526.7877,383.5218
55,539.4803,384.6129
56,551.6799,386.2523
57,565.3810,386.3717
58,576.4751,389.0216
59,590.7738,390.5558
60,603.1455,392.5932
61,615.7678,395.3156
62,629.3676,400.4058
63,641.7569,401.8283
64,653.4690,407.3893
65,668.0662,414.5265
66,677.3462,414.8654
67,690.8383,425.2546
68,706.8035,432.8271
69,715.4607,433.5532
71,745.0929,457.3032
72,757.2913,459.4897
73,772.8822,472.2646
74,784.4154,484.3893
75,801.4814,489.1418
76,814.9795,498.6950
77,823.9108,513.2960
78,843.7220,521.1511
79,857.1934,533.6393
80,865.1690,548.6932
81,879.8715,564.0357
82,891.7370,574.6692
83,904.8754,590.7427
85,931.0750,618.7102
86,943.1039,633.0387
87,952.3720,650.1979
88,968.4412,667.6268
89,980.5766,686.5812
90,992.3224,702.6882
91,1001.6182,720.3360
92,1016.6312,733.5961
93,1031.5115,745.1231
94,1042.1816,763.9749
95,1054.2661,784.3829
96,1063.4795,802.1994
97,1076.1383,821.5145
98,1086.4860,840.8650
99,1095.5325,859.1822
100,1102.0372,880.2761
101,1113.8372,898.7641
102,1117.9822,926.1284
103,1120.8737,943.8107
