cls,window_ms,D_mm,phase_i,phase_j,origin_y_mm,origin_z_mm,n_included,n_correct,match_fraction
SHORT,400,200,9,2,-2730.0000,40.0000,47,23,0.489362
SHORT,400,200,9,3,-2730.0000,60.0000,47,28,0.595745
SHORT,400,200,9,4,-2730.0000,80.0000,47,31,0.659574
SHORT,400,200,9,5,-2730.0000,100.0000,47,27,0.574468
SHORT,400,200,9,6,-2730.0000,120.0000,47,27,0.574468
SHORT,400,200,9,7,-2730.0000,140.0000,47,30,0.638298
SHORT,400,200,9,8,-2730.0000,160.0000,47,29,0.617021
SHORT,400,200,9,9,-2730.0000,180.0000,47,30,0.638298
SHORT,400,250,0,0,-2910.0000,0.0000,47,32,0.680851
SHORT,400,250,0,1,-2910.0000,25.0000,47,36,0.765957
SHORT,400,250,0,2,-2910.0000,50.0000,47,33,0.702128
SHORT,400,250,0,3,-2910.0000,75.0000,47,31,0.659574
SHORT,400,250,0,4,-2910.0000,100.0000,47,33,0.702128
SHORT,400,250,0,5,-2910.0000,125.0000,47,33,0.702128
SHORT,400,250,0,6,-2910.0000,150.0000,47,31,0.659574
SHORT,400,250,0,7,-2910.0000,175.0000,47,35,0.744681
SHORT,400,250,0,8,-2910.0000,200.0000,47,31,0.659574
SHORT,400,250,0,9,-2910.0000,225.0000,47,30,0.638298
SHORT,400,250,1,0,-2885.0000,0.0000,47,32,0.680851
SHORT,400,250,1,1,-2885.0000,25.0000,47,35,0.744681
SHORT,400,250,1,2,-2885.0000,50.0000,47,32,0.680851
SHORT,400,250,1,3,-2885.0000,75.0000,47,31,0.659574
SHORT,400,250,1,4,-2885.0000,100.0000,47,33,0.702128
SHORT,400,250,1,5,-2885.0000,125.0000,47,33,0.702128
SHORT,400,250,1,6,-2885.0000,150.0000,47,32,0.680851
SHORT,400,250,1,7,-2885.0000,175.0000,47,35,0.744681
SHORT,400,250,1,8,-2885.0000,200.0000,47,31,0.659574
SHORT,400,250,1,9,-2885.0000,225.0000,47,30,0.638298
SHORT,400,250,2,0,-2860.0000,0.0000,47,28,0.595745
SHORT,400,250,2,1,-2860.0000,25.0000,47,31,0.659574
SHORT,400,250,2,2,-2860.0000,50.0000,47,27,0.574468
SHORT,400,250,2,3,-2860.0000,75.0000,47,27,0.574468
SHORT,400,250,2,4,-2860.0000,100.0000,47,30,0.638298
SHORT,400,250,2,5,-2860.0000,125.0000,47,29,0.617021
SHORT,400,250,2,6,-2860.0000,150.0000,47,28,0.595745
SHORT,400,250,2,7,-2860.0000,175.0000,47,31,0.659574
SHORT,400,250,2,8,-2860.0000,200.0000,47,28,0.595745
SHORT,400,250,2,9,-2860.0000,225.0000,47,27,0.574468
SHORT,400,250,3,0,-2835.0000,0.0000,47,29,0.617021
SHORT,400,250,3,1,-2835.0000,25.0000,47,33,0.702128
SHORT,400,250,3,2,-2835.0000,50.0000,47,28,0.595745
SHORT,400,250,3,3,-2835.0000,75.0000,47,28,0.595745
SHORT,400,250,3,4,-2835.0000,100.0000,47,31,0.659574
SHORT,400,250,3,5,-2835.0000,125.0000,47,31,0.659574
SHORT,400,250,3,6,-2835.0000,150.0000,47,29,0.617021
SHORT,400,250,3,7,-2835.0000,175.0000,47,33,0.702128
SHORT,400,250,3,8,-2835.0000,200.0000,47,31,0.659574
SHORT,400,250,3,9,-2835.0000,225.0000,47,29,0.617021
SHORT,400,250,4,0,-2810.0000,0.0000,47,30,0.638298
SHORT,400,250,4,1,-2810.0000,25.0000,47,34,0.723404
SHORT,400,250,4,2,-2810.0000,50.0000,47,28,0.595745
SHORT,400,250,4,3,-2810.0000,75.0000,47,29,0.617021
SHORT,400,250,4,4,-2810.0000,100.0000,47,33,0.702128
SHORT,400,250,4,5,-2810.0000,125.0000,47,34,0.723404
SHORT,400,250,4,6,-2810.0000,150.0000,47,33,0.702128
SHORT,400,250,4,7,-2810.0000,175.0000,47,35,0.744681
SHORT,400,250,4,8,-2810.0000,200.0000,47,32,0.680851
SHORT,400,250,4,9,-2810.0000,225.0000,47,30,0.638298
SHORT,400,250,5,0,-2785.0000,0.0000,47,30,0.638298
SHORT,400,250,5,1,-2785.0000,25.0000,47,35,0.744681
SHORT,400,250,5,2,-2785.0000,50.0000,47,29,0.617021
SHORT,400,250,5,3,-2785.0000,75.0000,47,30,0.638298
SHORT,400,250,5,4,-2785.0000,100.0000,47,35,0.744681
