threshold_mm,cls,A,selected_window,success_rate,plateau_windows,plateau_size,n_total,n_ok,n_fit_failed,success,wrong_placement,wrong_class,late,no_response,landing_median,landing_p90,landing_max,dp_median,vterm_median,dv_median,ind_no_response,ind_late,ind_wrong_class,ind_wrong_placement,ind_no_response_evaluable,ind_late_evaluable,ind_wrong_class_evaluable,ind_wrong_placement_evaluable
500.0000,SHORT,72.0000,250,82.9787,250,1,47,45,2,39,4,2,0,2,289.5799,523.5636,1538.8128,121.3012,169.8263,249.7446,2,0,2,6,47,45,45,45
500.0000,LONG,72.0000,750,95.0000,650;700;750,3,60,60,0,57,0,0,3,0,157.2758,269.8148,447.8079,91.1081,61.4362,90.3473,0,3,0,0,60,60,60,60
500.0000,SHORT,135.0000,250,72.3404,250,1,47,45,2,34,4,2,5,2,289.5799,523.5636,1538.8128,121.3012,169.8263,249.7446,2,5,2,6,47,45,45,45
500.0000,LONG,135.0000,650,95.0000,650,1,60,60,0,57,2,1,0,0,189.1825,328.1941,724.8053,110.1279,77.4103,113.8386,0,0,1,2,60,60,60,60
500.0000,SHORT,220.0000,200,51.0638,200,1,47,45,2,24,11,1,9,2,308.7799,708.5465,1424.4491,127.3850,181.5976,267.0553,2,9,1,13,47,45,45,45
500.0000,LONG,220.0000,550,86.6667,550,1,60,59,1,52,4,3,0,1,258.5007,475.0059,1691.2863,145.7306,108.1918,159.1056,1,0,3,5,60,59,59,59
