threshold_mm,cls,A,selected_window,success_rate,plateau_windows,plateau_size,n_total,n_ok,n_fit_failed,success,wrong_placement,wrong_class,late,no_response,landing_median,landing_p90,landing_max,dp_median,vterm_median,dv_median,ind_no_response,ind_late,ind_wrong_class,ind_wrong_placement,ind_no_response_evaluable,ind_late_evaluable,ind_wrong_class_evaluable,ind_wrong_placement_evaluable
1000.0000,SHORT,72.0000,250,91.4894,200;250,2,47,45,2,43,0,2,0,2,289.5799,523.5636,1538.8128,121.3012,169.8263,249.7446,2,0,2,1,47,45,45,45
1000.0000,LONG,72.0000,700,98.3333,650;700,2,60,60,0,59,0,1,0,0,172.7121,293.9079,870.1114,90.6697,72.1257,106.0673,0,0,1,0,60,60,60,60
1000.0000,SHORT,135.0000,200,91.4894,200,1,47,45,2,43,1,1,0,2,308.7799,708.5465,1424.4491,127.3850,181.5976,267.0553,2,0,1,2,47,45,45,45
1000.0000,LONG,135.0000,650,98.3333,650,1,60,60,0,59,0,1,0,0,189.1825,328.1941,724.8053,110.1279,77.4103,113.8386,0,0,1,0,60,60,60,60
1000.0000,SHORT,220.0000,200,72.3404,200,1,47,45,2,34,1,1,9,2,308.7799,708.5465,1424.4491,127.3850,181.5976,267.0553,2,9,1,2,47,45,45,45
1000.0000,LONG,220.0000,600,96.6667,600,1,60,60,0,58,1,1,0,0,203.4921,532.3025,1067.8523,115.0109,97.9791,144.0869,0,0,1,1,60,60,60,60
