cls,A,success_3crit,window_3crit,success_combined_1000,window_combined_1000,delta_1000_vs_3crit,success_combined_500,window_combined_500,delta_500_vs_3crit
SHORT,72.0000,93.6170,200,91.4894,250,-2.1277,82.9787,250,-10.6383
LONG,72.0000,98.3333,700,98.3333,700,0.0000,95.0000,750,-3.3333
SHORT,135.0000,93.6170,200,91.4894,200,-2.1277,72.3404,250,-21.2766
LONG,135.0000,98.3333,650,98.3333,650,0.0000,95.0000,650,-3.3333
SHORT,220.0000,74.4681,200,72.3404,200,-2.1277,51.0638,200,-23.4043
LONG,220.0000,98.3333,600,96.6667,600,-1.6667,86.6667,550,-11.6667
