frame_number,u,v
39,157.11739130434782,636.991304347826
40,177.13669064748203,640.9184652278177
41,201.12439862542954,641.1106529209621
42,224.65993561603744,651.2493415276558
43,248.24461670973298,654.4467413149583
44,271.6898195437521,654.4603336738168
45,297.28175463967216,662.5249457700651
46,323.54807940190767,668.0415055426656
47,351.43383779588663,669.0547147846333
48,379.64662921348315,682.6426966292134
49,409.0086553945249,687.1086956521739
50,438.45298588490766,691.112703583062
51,467.1744460160302,703.2604117554612
52,498.10414374770806,711.2746607994133
53,526.6176753121997,718.1808357348704
54,561.2190429205723,727.893603025818
55,593.7096162955945,739.022106426654
56,624.0211416490487,747.4587737843552
57,656.4731865650577,757.5795935647756
58,688.0708775313404,768.0266795242687
59,721.9110667553781,772.981370592149
60,753.2842900787907,789.6801736613603
61,784.5390115667718,797.9352260778128
62,817.2479965345461,808.2302360840372
63,845.2953648915187,822.9207758053911
64,877.8721920991479,831.6596953266201
65,905.7889647326506,846.7269624573379
66,932.6449676823637,857.7696214219759
67,962.7594562647753,864.474586288416
68,990.8260162601625,874.8666666666667
69,1015.907722513089,893.5373036649214
70,1040.604609929078,893.764184397163
71,1065.861788617886,903.6693766937669
72,1084.6476997578693,922.273607748184
73,1108.0885826771653,936.8933727034121
