frame_number,u,v
62,254.8783727687837,659.3005396430053
63,277.4769841269841,665.6380952380953
64,300.00566994926885,672.6589077887198
65,323.2488465974625,679.8096885813148
66,346.65916305916306,681.7717171717171
67,371.1812865497076,692.8031938821412
68,396.364328867875,699.3312319411609
69,423.76458036984354,705.2586533902323
70,447.22188755020073,716.1421686746988
71,474.068105192178,723.4567318498539
72,503.07694998251134,736.0963623644631
73,531.424025974026,743.9383116883117
74,559.696455505279,752.4943438914028
75,588.0929535232384,762.7051474262869
76,615.1846644169478,776.5894263217098
77,647.638698630137,779.3595890410959
78,672.5952141900937,796.0746318607763
79,702.5874619207952,809.0266153599487
80,733.2631666666666,821.7048333333332
81,759.7491039426523,830.425469112376
82,789.6084788029925,844.2804655029094
83,816.0984100877192,855.7151864035087
84,846.6766777901371,862.6852057842046
85,874.0888756927949,882.1775534441805
86,903.7786324786324,891.5115384615384
87,921.5439838220425,900.8725985844287
88,945.3205128205128,920.0862133036045
89,966.6180499597099,932.276390008058
90,995.0724070450098,938.9465101108935
91,1014.1003706871969,959.8041060735671
92,1033.7173837005946,979.5968870234346
