frame_number,u,v
33,202.8263,656.9512
34,226.9682,666.3162
35,247.0994,665.1473
36,271.2342,672.2413
37,298.9362,679.4552
38,322.7197,685.7211
39,349.9741,690.3225
40,377.5040,698.9457
41,404.7543,704.5360
42,431.9536,711.3557
43,460.6530,721.3202
44,491.3826,727.8193
45,520.8543,737.4442
46,550.7920,745.7939
47,582.1041,754.8981
48,611.8841,763.3849
49,645.7334,776.0126
50,674.7712,781.4611
51,705.7404,794.7744
52,737.8706,804.5847
53,766.5521,811.1545
54,797.5003,821.7835
55,826.7946,840.0509
56,856.6412,846.2862
57,886.0016,854.8863
58,909.9439,871.6131
59,937.3426,883.4871
60,964.6224,889.4931
61,990.0947,906.5603
62,1014.7024,911.1386
63,1040.6324,926.9960
64,1061.5127,935.2090
65,1076.4645,959.2098
