frame_number,u,v
46,160.2054,609.0652
47,177.6564,604.6379
48,195.3794,601.1946
49,212.8137,599.7454
50,228.2956,595.0574
51,247.7454,590.2281
52,271.2964,590.4253
53,288.1428,578.8902
54,312.7299,584.2042
55,338.0255,580.4708
56,363.6964,579.6677
57,387.2318,571.6028
58,411.2610,578.8008
59,435.8727,573.7016
60,463.6971,577.5555
61,493.1803,580.9507
62,520.3883,582.9253
63,544.8035,585.7123
64,578.4698,589.1668
65,608.3565,593.3687
66,641.4952,596.6139
67,673.8102,603.0645
68,704.4914,607.9002
69,739.7456,616.1022
70,772.4453,622.3223
71,808.8735,621.5014
72,843.0440,629.0988
73,874.6924,643.9192
74,907.2332,647.1493
75,936.2945,667.3884
76,969.5890,675.1235
77,1002.2289,685.8947
78,1042.5079,687.3126
79,1064.7282,699.1141
80,1094.8718,717.3459
81,1126.0877,720.9903
82,1156.1824,740.5126
83,1177.3231,758.3522
84,1205.7086,770.5641
85,1230.7640,783.8331
86,1260.0497,785.8333
87,1279.7440,793.9087
88,1300.0784,810.5984
89,1322.7282,817.5165
90,1335.7199,830.4100
91,1355.2529,846.7170
92,1372.7199,853.4650
93,1387.4326,871.1206
94,1398.8496,887.0634
