frame_number,u,v
58,357.9121,699.6223
59,382.7162,700.6093
60,406.6344,700.3752
61,428.6196,706.8433
62,453.7312,708.2931
63,481.0340,705.9068
64,503.1301,714.2623
65,532.0168,716.6571
66,554.7453,719.1882
67,581.3669,730.7779
68,606.8972,737.5172
69,633.3117,743.1949
70,659.2939,751.4461
71,684.6418,759.1404
72,711.0118,766.3481
73,737.8920,775.8679
74,765.6775,785.9315
75,792.2183,792.6907
76,816.6126,802.8694
77,838.6270,811.1199
78,867.9880,821.2168
79,891.4243,831.8900
80,922.4727,835.1468
81,941.3617,844.9395
82,963.4970,864.7038
83,991.0152,869.6500
84,1013.3550,880.6070
85,1032.5588,898.9633
86,1056.9827,908.7473
87,1068.0601,919.1861
88,1089.4625,934.2066
89,1112.1649,939.1634
90,1129.0251,955.8253
91,1147.0715,961.2513
92,1160.1268,989.1040
93,1173.6401,999.4506
