frame_number,u,v
49,216.9591,628.9061
50,236.2630,625.8954
51,254.6706,627.6861
52,269.4493,629.7641
53,287.7793,624.5070
54,304.7780,630.5501
55,322.9492,631.2602
56,341.2663,625.7308
57,363.1588,634.8799
58,383.9863,636.1133
59,404.0218,633.1735
60,425.7751,641.3825
61,448.2029,643.2703
62,471.5641,645.5626
63,494.9476,654.5357
64,518.5482,661.2223
65,544.4423,667.7059
66,567.4275,675.6588
67,591.7728,682.5454
68,621.0950,684.8655
69,642.0039,700.8296
70,664.5067,707.4898
71,695.5991,712.6182
72,716.5637,728.2413
73,743.5401,738.4005
74,768.9405,748.8047
75,795.6836,759.1292
76,821.0035,769.2456
77,845.6906,783.0922
78,868.3276,796.0153
79,894.9358,801.9226
80,919.7286,820.2691
81,941.4655,836.1835
82,967.8092,835.4592
83,993.3394,849.3171
84,1015.3968,878.5731
85,1039.0478,880.2331
86,1059.9364,891.1319
87,1078.3523,914.2747
88,1098.1621,928.0981
89,1118.0770,949.1903
90,1137.3195,958.0497
