frame_number,u,v
40,156.7124,722.4974
41,168.8129,712.6606
42,175.7466,694.6261
43,191.9872,687.4357
44,205.3276,672.3090
45,215.6447,654.8835
46,230.4693,645.1065
47,244.2117,635.8238
48,255.9275,617.1828
49,268.5422,614.0556
50,281.5368,603.7951
51,294.5596,592.7219
52,309.8240,583.3122
53,322.1950,571.6257
54,331.5870,561.1094
55,344.6753,553.3650
56,367.4784,548.1457
57,379.5343,540.5533
58,394.1875,534.9319
59,407.2412,529.0666
60,419.9545,521.4457
61,433.8029,516.1252
62,449.1187,510.7465
63,463.2508,505.8164
64,475.9089,504.2476
65,490.2712,500.4101
66,502.8436,491.0523
67,518.0781,492.3287
68,532.0688,488.7801
69,547.1619,483.1859
70,561.5549,488.0831
71,574.2855,487.4466
72,586.6602,485.4180
73,599.8532,489.0328
74,613.2366,487.0510
75,624.1599,484.8073
76,639.6861,487.1021
77,658.2516,483.3754
78,671.2166,484.8261
79,685.1382,492.2371
80,701.1194,500.9867
81,713.3601,503.6527
82,725.3265,509.8130
83,738.3507,513.3394
84,753.5541,513.3242
85,766.2433,523.6387
86,779.1962,531.0946
87,792.2881,536.1275
88,805.0200,544.8024
89,819.4766,551.4112
90,829.9947,556.3000
91,844.9734,564.2405
92,860.0044,574.0623
93,867.0546,586.8136
94,884.2661,598.5795
95,895.1295,609.1420
96,906.2420,617.2481
97,919.8378,626.9425
98,933.1976,637.4979
99,945.1403,654.1373
100,955.4043,661.9661
101,970.7787,676.5724
102,981.8714,691.0451
103,991.5723,701.8319
104,1005.4271,717.0492
105,1014.4932,732.7477
106,1025.0206,742.6700
107,1034.3686,752.4488
108,1048.2316,764.7846
109,1055.5167,783.2640
110,1067.0229,796.8077
111,1080.1324,810.3199
112,1086.4432,829.6373
113,1098.1722,841.6424
114,1101.4421,857.4508
115,1112.2259,876.7887
116,1119.1987,892.9625
117,1127.8018,908.9109
118,1131.8198,922.0324
