frame_number,u,v
52,342.6876,733.9587
53,352.3613,714.6437
54,365.9175,697.3697
55,376.7651,680.7834
56,387.6615,663.0849
57,405.6879,644.7128
58,416.1460,630.7679
59,427.4583,615.7197
60,442.0718,602.8292
61,454.8843,589.5735
62,465.9629,570.2498
63,481.2885,559.6808
64,494.4354,546.3970
65,505.7666,535.2743
66,521.0392,523.8162
67,530.8087,514.4953
68,537.6422,500.7890
69,554.6176,493.4394
70,569.0737,483.0281
71,583.7833,474.7180
72,596.1127,468.3650
73,607.0148,460.3318
74,617.9088,449.4615
75,631.7937,446.3940
76,640.9596,437.6797
77,654.4188,428.0895
78,667.3920,430.0715
79,678.8126,425.8354
80,689.6781,420.6705
81,701.5051,418.0971
82,710.7875,410.5019
83,722.1749,409.6591
84,735.3333,408.5344
85,746.7793,406.4785
86,757.3882,405.4209
87,769.8641,405.6388
88,781.8688,401.0043
89,793.2462,394.2918
90,808.0917,401.9218
91,818.8756,396.6436
92,828.8269,398.9989
93,841.9558,403.0995
94,854.6219,409.1024
95,862.3417,414.0304
96,873.1816,418.7128
97,882.2733,419.6580
98,894.3686,422.0864
99,906.0025,425.3424
100,914.5391,427.5755
101,929.8708,431.9630
102,945.7998,440.8255
103,950.4685,447.8932
104,958.7436,457.7368
105,968.9275,464.6467
106,980.7769,468.0164
107,992.8162,475.8180
108,1002.0903,486.1314
109,1013.1044,494.4310
110,1024.1665,504.8672
111,1034.8330,517.0489
114,1068.0523,545.3958
115,1079.5660,554.7628
116,1090.6888,569.1032
117,1100.6358,581.3393
118,1108.5460,596.2097
119,1116.6500,609.4700
120,1128.2102,625.8684
121,1139.1324,633.2215
122,1150.5335,655.2199
123,1162.1616,665.7974
124,1172.3592,682.7082
125,1177.3168,699.4182
126,1186.4150,713.3369
127,1188.9071,730.2756
128,1202.7757,741.6219
129,1207.7906,761.0268
131,1223.8144,791.6839
132,1229.9818,808.5980
134,1245.8740,842.9941
135,1255.2029,862.8792
137,1261.9768,898.1094
138,1266.9465,916.2960
140,1276.4164,948.9001
