frame_number,u,v
35,309.1698,757.4367
36,324.5562,744.4505
37,335.3149,725.8606
38,349.3790,707.5835
39,356.3769,698.2741
40,367.7148,683.3747
41,376.5742,669.4318
42,392.8596,654.2275
43,404.8712,641.8248
44,415.4485,630.1057
45,430.0321,613.4227
46,442.0170,605.2713
47,452.4611,591.2107
48,466.1632,581.8821
49,477.2751,570.3749
50,490.4694,558.0745
51,505.3473,552.8544
52,518.4503,539.1796
53,531.5116,529.8731
54,544.2882,523.0390
55,556.6465,514.2468
56,567.7941,503.2512
57,584.4642,502.8384
58,596.2371,492.6783
59,608.5049,491.4664
60,620.5684,487.8586
61,630.0917,480.9996
62,641.3606,474.2586
63,659.1527,474.6302
64,670.8102,465.9302
65,688.4980,463.5170
66,704.8383,466.7470
67,714.7886,466.8035
68,725.7209,465.8751
69,738.1203,465.8545
70,748.2383,460.8223
71,761.9373,461.2167
72,776.6426,467.2355
73,784.9540,464.5423
74,801.5503,469.0952
75,822.1255,468.6400
76,831.7693,465.6907
77,846.5276,471.1994
78,859.5107,483.3337
79,876.4626,486.4084
80,888.9358,494.2851
81,899.8696,503.8905
82,910.3698,507.9193
83,923.7455,516.7598
84,935.3391,523.9749
85,951.8872,527.3455
86,968.9877,538.2095
87,982.4762,550.1719
88,993.3994,558.7539
89,1006.5721,575.6081
90,1018.6037,587.3402
91,1032.9184,596.0482
92,1045.6364,609.4913
93,1057.4295,619.5420
94,1068.8758,634.4872
95,1084.2406,650.9155
96,1101.5976,663.4167
97,1112.2001,676.3789
99,1136.6209,714.6439
100,1145.6822,733.9018
101,1158.6515,737.7749
102,1170.4508,764.7303
103,1180.4565,773.5410
104,1190.8904,792.5124
105,1203.4042,810.0141
106,1215.1821,827.9904
107,1226.9668,848.4268
108,1235.0204,869.9195
109,1242.1899,887.8838
110,1249.3651,909.5103
111,1255.5539,933.1709
112,1260.5931,954.1344
113,1266.2713,971.3151
