frame_number,u,v
64,194.7831,640.6679
65,215.9245,643.9643
66,237.7162,647.4709
67,260.6739,646.8368
68,283.6979,649.6747
69,306.6290,654.3516
70,329.4832,652.6418
71,350.0260,655.7942
72,376.0663,663.4548
73,400.7693,664.2481
74,426.6558,669.5676
75,454.0458,678.8773
76,481.8271,682.6382
77,510.2665,691.6962
78,534.4007,699.6615
79,559.8575,703.2887
80,587.6310,712.6942
81,614.9243,721.4686
82,644.0956,730.1369
83,671.4039,738.7852
84,700.9009,746.8158
85,723.9565,749.3141
86,753.6953,759.6708
87,780.3623,772.0963
88,808.3049,782.2015
89,833.6661,788.5191
90,856.0228,802.4035
91,881.0998,816.3724
92,903.2391,820.1293
93,929.0549,836.6267
94,952.1772,843.6047
95,979.3395,858.0815
96,1002.1637,866.1300
97,1025.0795,874.6977
98,1042.8911,886.0515
99,1064.2816,896.4516
100,1084.6081,904.9463
101,1097.2423,920.7230
102,1115.8450,931.8253
103,1130.4606,953.5756
