frame_number,u,v
43,307.1493,775.8609
44,327.7100,763.3954
45,340.9177,746.9168
46,353.7550,731.0784
47,368.2297,716.9258
48,380.2853,698.5732
49,395.7578,683.7944
50,410.5807,670.5105
51,424.5650,657.7132
52,439.5581,641.5511
53,454.1212,630.3084
54,469.5410,613.1841
55,483.8434,602.9360
56,499.7518,593.5574
57,514.9643,581.3610
58,530.9792,568.9494
59,546.1090,559.8891
60,559.2932,547.0512
61,577.4603,537.2363
62,591.4286,529.5522
63,604.5331,521.1170
64,621.0999,511.4864
65,638.7422,506.8593
66,651.8085,497.2132
67,667.6878,492.2134
68,682.0081,488.2985
69,695.8495,480.8425
70,709.6734,476.3478
71,725.3371,473.5290
72,736.9038,465.8115
73,752.6830,460.1493
74,769.0384,461.9070
75,781.4804,454.6411
76,797.7510,454.7417
77,811.1102,459.5795
78,823.7395,454.1822
79,837.1263,453.8880
80,852.2962,457.2501
81,864.6263,452.7197
82,879.9778,454.2179
83,897.7438,456.1272
84,912.2718,451.8403
85,926.9417,453.9650
86,940.6047,461.1131
87,953.6870,461.4969
88,965.8950,466.7764
89,979.7728,475.5582
90,991.0860,478.6419
91,1005.3483,486.8709
92,1017.4182,492.7877
93,1027.1123,492.5217
94,1044.1371,501.1194
95,1057.6150,506.4755
96,1073.2557,510.7039
97,1084.2457,522.5619
98,1094.2578,533.7735
99,1107.2201,539.4066
100,1120.6031,553.0013
101,1132.5354,562.8058
102,1152.1534,566.0324
103,1161.4826,581.3651
104,1173.2399,592.0151
105,1181.4931,610.2366
106,1197.2313,605.7959
107,1205.6169,627.5800
108,1218.4171,635.3476
109,1231.3639,656.1353
110,1236.8350,666.3887
111,1242.8011,688.4281
112,1256.6873,689.2698
113,1269.4571,708.9381
114,1277.6727,721.5204
115,1286.2572,738.4725
116,1295.7238,751.0187
117,1309.4579,758.9119
118,1312.6866,778.5809
119,1321.8597,791.6208
120,1326.7892,806.6249
121,1333.1393,826.1843
122,1340.5483,834.9179
124,1358.5518,868.6177
126,1394.4412,397.4069
