frame_number,u,v
29,330.1833,654.8228
30,341.2568,639.4222
31,354.3960,621.8598
32,364.3648,610.9806
33,379.1460,598.0746
34,392.1633,585.8606
35,408.7505,573.7284
36,419.0636,559.7840
37,433.8666,548.1375
38,445.2318,539.7143
39,457.9247,527.2129
40,470.3553,519.0542
41,484.4269,510.2326
42,496.9448,499.4811
43,509.7078,491.4620
44,523.2194,484.9977
45,534.7716,475.5190
46,548.2151,469.8450
47,561.5390,464.9946
48,572.4981,456.5219
49,585.8999,453.9519
50,598.8979,449.8132
51,611.0407,444.2542
52,623.7602,440.5867
53,636.5226,438.3776
54,648.7928,434.1442
55,661.5668,431.7875
56,673.2880,430.8928
57,684.6518,427.3532
58,697.8301,426.1552
59,709.6084,426.6472
60,719.5178,422.9866
61,733.8050,424.5524
62,745.3390,427.4504
63,755.1931,419.7696
64,771.7096,425.2482
65,782.5048,421.0466
66,790.1850,425.1484
67,804.5833,427.6363
68,817.5437,430.0696
69,830.0506,434.4374
70,841.2135,438.4365
71,859.4810,442.1119
72,873.0127,450.4954
73,879.5214,455.2460
74,895.8285,460.8675
75,907.5366,467.0976
76,918.7532,475.7857
77,932.0567,484.9831
78,944.4193,490.9570
79,951.9617,506.9389
80,965.1113,515.5503
81,981.0418,518.5631
82,988.7096,535.2045
83,1004.1232,542.6227
84,1017.2843,549.2157
85,1023.7650,569.1394
86,1040.6482,577.7080
87,1051.2286,587.2212
88,1057.9310,598.3447
89,1070.0787,616.3523
90,1079.2932,630.8318
91,1094.2676,645.1730
92,1106.1713,654.0197
93,1112.8780,675.2475
94,1122.9630,688.4805
95,1136.1068,704.9381
96,1145.3380,724.1147
97,1155.9723,731.0918
98,1165.4063,753.4370
99,1170.6962,770.0134
100,1183.9237,783.4326
101,1192.5664,799.1271
102,1200.5130,814.9241
103,1210.2126,835.5243
104,1217.7789,851.1718
105,1225.9848,867.9138
106,1232.5108,888.9311
107,1239.7917,905.3800
108,1245.5708,922.9148
109,1253.4090,942.1975
110,1258.2215,967.1751
