frame_number,u,v
59,171.7609,636.4846
60,189.6487,634.6610
61,207.9498,635.5727
62,225.8920,639.2302
63,243.7558,640.1031
64,262.8025,636.1959
65,281.8444,641.3543
66,302.1920,641.8811
67,321.2065,638.2736
68,346.8085,649.1859
69,372.7033,649.7043
70,391.4767,654.1696
71,415.1686,660.7265
72,443.9736,665.8053
73,464.3136,667.6955
74,490.3022,674.6585
75,515.0156,681.1235
76,539.4580,685.2796
77,564.6294,696.0144
78,588.6419,703.0044
79,615.1184,711.0289
80,643.9115,721.4719
81,670.9530,730.3764
82,695.8317,740.0091
83,724.5737,748.7601
84,750.5034,755.5636
85,776.4015,766.9389
86,797.6817,778.0580
87,828.8239,789.1872
88,856.7564,796.2041
89,880.4337,816.3342
90,905.7107,827.9502
91,927.3885,831.8502
92,954.7105,850.6576
93,984.6063,854.7703
94,1004.2262,867.0641
95,1024.1189,888.1523
96,1050.0668,895.0155
97,1069.3104,909.5277
98,1090.3777,918.7160
99,1109.7463,937.0189
100,1124.4805,951.1142
