frame_number,u,v
66,348.8089,671.7615
67,363.3175,662.8371
68,377.1747,650.8870
69,391.4748,639.5768
70,405.7118,631.9585
71,414.6446,622.1626
72,432.7355,613.1789
73,451.1564,604.2593
74,465.8446,593.4617
75,479.9119,585.2170
76,494.1861,580.9912
77,510.1741,571.1415
78,525.3084,563.7720
79,537.4938,561.6223
80,552.4414,553.4824
81,567.4098,547.4128
82,579.3712,545.5395
83,592.8909,539.5988
84,607.1451,535.2879
85,621.7520,533.9289
86,635.2153,528.8299
87,650.1688,527.1779
88,664.2345,525.6975
89,678.2142,522.2985
90,692.6982,521.4803
91,706.8080,522.1712
92,718.8573,519.1122
93,734.9002,520.6003
94,748.2792,522.4411
95,759.6989,521.0696
96,772.7650,520.0384
97,788.1144,523.0692
98,801.1455,526.5547
99,814.2809,527.8010
100,828.8869,531.6307
101,844.8089,536.1446
102,854.9531,539.9755
103,868.5745,544.1739
104,884.6923,550.7866
105,894.6511,556.0280
106,908.5623,562.6346
107,925.6328,568.6190
108,935.6195,576.0118
109,949.7168,583.3945
110,966.3502,591.6598
111,975.9921,601.4026
112,991.9474,613.5869
113,1003.2302,622.7793
114,1015.8575,628.1393
115,1028.9189,635.3825
116,1043.0326,650.2506
117,1055.5112,656.9182
118,1065.5577,670.8061
119,1079.3068,685.2250
120,1090.7951,692.5623
121,1104.5643,705.2455
122,1116.0755,710.2926
123,1122.0290,728.1684
124,1130.3277,740.3244
125,1140.2434,756.1534
126,1155.9029,768.6408
127,1166.6831,777.8717
128,1175.0446,790.5064
129,1186.4324,806.0710
130,1195.1863,820.4214
131,1203.7027,833.9279
132,1212.6106,850.5685
133,1221.4637,864.2308
134,1229.5889,878.4708
135,1236.8286,895.9386
136,1244.8677,908.9247
137,1249.6870,923.7023
138,1258.8052,943.5454
