session,flight,threshold_mm,seed,status,wall_ms,error_mm,n_inliers,n_fit_points,accepted_frames,fit_window_duration_ms
2026_07_15_gym,flight_11,75.0,14,ok,97.3994,497.6416,13,26,45;46;47;50;51;56;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,15,ok,120.6053,583.9115,17,26,43;44;45;46;47;48;49;50;51;53;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,16,ok,108.1394,596.6369,17,26,43;44;45;46;47;48;49;50;51;56;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,17,ok,101.2773,508.0232,17,26,43;44;45;46;47;48;49;50;51;53;59;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,18,ok,110.9850,302.0534,15,26,43;44;45;46;47;48;49;50;53;59;61;63;64;67;68,416.3030
2026_07_15_gym,flight_11,75.0,19,ok,108.7701,544.7069,15,26,44;45;46;47;48;50;51;56;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,20,ok,109.9969,639.8386,16,26,43;44;45;46;47;48;49;50;51;53;59;60;62;63;65;66,416.3030
2026_07_15_gym,flight_11,75.0,21,ok,115.1457,531.7420,18,26,43;44;45;46;47;48;49;50;51;53;59;60;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,75.0,22,ok,111.4994,645.3588,15,26,43;44;45;46;47;48;50;51;56;59;60;62;63;65;66,416.3030
2026_07_15_gym,flight_11,75.0,23,ok,99.1082,367.9154,18,26,43;44;45;46;47;48;49;50;51;53;59;61;62;63;64;66;67;68,416.3030
2026_07_15_gym,flight_11,75.0,24,ok,101.8506,425.4320,15,26,43;44;45;47;48;49;50;53;59;62;63;64;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,0,ok,102.9838,402.7902,19,26,43;44;45;46;47;48;49;50;51;53;59;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,1,ok,99.6366,402.7902,19,26,43;44;45;46;47;48;49;50;51;53;59;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,2,ok,97.3538,402.7902,19,26,43;44;45;46;47;48;49;50;51;53;59;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,3,ok,97.5939,402.7902,19,26,43;44;45;46;47;48;49;50;51;53;59;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,4,ok,100.0605,402.7902,19,26,43;44;45;46;47;48;49;50;51;53;59;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,5,ok,106.1823,542.3696,19,26,43;44;45;46;47;48;49;50;51;53;56;59;60;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,100.0,6,ok,96.3939,531.7420,18,26,43;44;45;46;47;48;49;50;51;53;59;60;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,100.0,7,ok,105.9143,596.6777,18,26,43;44;45;46;47;48;49;50;51;53;56;59;60;62;63;65;66;68,416.3030
2026_07_15_gym,flight_11,100.0,8,ok,96.8343,542.3696,19,26,43;44;45;46;47;48;49;50;51;53;56;59;60;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,100.0,9,ok,94.4756,402.7902,19,26,43;44;45;46;47;48;49;50;51;53;59;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,10,ok,99.4747,542.3696,19,26,43;44;45;46;47;48;49;50;51;53;56;59;60;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,100.0,11,ok,105.4997,432.1785,21,26,43;44;45;46;47;48;49;50;51;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,12,ok,106.6633,432.1785,21,26,43;44;45;46;47;48;49;50;51;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,13,ok,109.0894,425.1529,20,26,43;44;45;46;47;48;49;50;51;53;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,14,ok,111.1297,376.1516,19,26,43;44;45;46;47;48;49;50;51;52;53;59;61;62;63;64;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,15,ok,104.3099,542.3696,19,26,43;44;45;46;47;48;49;50;51;53;56;59;60;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,100.0,16,ok,106.2025,542.3696,19,26,43;44;45;46;47;48;49;50;51;53;56;59;60;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,100.0,17,ok,105.9932,542.3696,19,26,43;44;45;46;47;48;49;50;51;53;56;59;60;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,100.0,18,ok,108.9132,402.7902,19,26,43;44;45;46;47;48;49;50;51;53;59;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,19,ok,106.4221,542.3696,19,26,43;44;45;46;47;48;49;50;51;53;56;59;60;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,100.0,20,ok,109.5271,542.3696,19,26,43;44;45;46;47;48;49;50;51;53;56;59;60;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,100.0,21,ok,119.2750,542.3696,19,26,43;44;45;46;47;48;49;50;51;53;56;59;60;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,100.0,22,ok,106.4795,402.7902,19,26,43;44;45;46;47;48;49;50;51;53;59;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,23,ok,106.3818,402.7902,19,26,43;44;45;46;47;48;49;50;51;53;59;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,100.0,24,ok,103.7681,402.7902,19,26,43;44;45;46;47;48;49;50;51;53;59;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,0,ok,108.8391,437.2389,21,26,43;44;45;46;47;48;49;50;51;52;53;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,1,ok,108.8750,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,2,ok,103.9368,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,3,ok,104.8923,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,4,ok,107.5897,432.1785,21,26,43;44;45;46;47;48;49;50;51;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,5,ok,110.2536,437.2389,21,26,43;44;45;46;47;48;49;50;51;52;53;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,6,ok,108.4324,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,7,ok,94.8890,432.1785,21,26,43;44;45;46;47;48;49;50;51;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
