threshold_mm,n_runs,median_error_mm,iqr_error_mm,seed_std_median_mm
50.0,3571,197.31,160.19,54.19
75.0,3723,193.55,150.98,40.77
100.0,3739,188.37,156.87,26.74
125.0,3750,189.65,154.33,19.23
150.0,3750,193.54,143.07,17.26
