session,flight_id,N_requested,N_used,status,speed_m_s,elevation_deg,accel_mag_m_s2,gravity_crosscheck_diff_deg,registration_used,n_paired_frames,flag_reason
2026_07_21_gym,flight_20,20,20,ok,7.5495,11.4081,9.7650,24.5656,registration1,50,"|a|=9.77 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_20,30,30,ok,7.6390,11.3098,9.1176,12.9414,registration1,50,"|a|=9.12 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_21,20,20,ok,7.1355,51.3513,8.7093,2.0404,registration1,82,"|a|=8.71 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_21,30,30,ok,7.2573,51.4332,9.5454,3.6909,registration1,82,"|a|=9.55 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_22,20,20,ok,7.6599,51.3624,14.6627,22.4962,registration1,74,"|a|=14.66 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_22,30,30,ok,7.4806,49.5604,11.4705,5.4730,registration1,74,"|a|=11.47 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_23,20,20,ok,7.2144,49.6380,10.3149,6.8203,registration1,78,
2026_07_21_gym,flight_23,30,30,ok,7.1621,49.1548,9.9389,3.5883,registration1,78,
2026_07_21_gym,flight_24,20,20,ok,6.8457,50.8434,11.0973,8.2796,registration1,77,"|a|=11.10 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_24,30,30,ok,6.7053,49.3279,9.3479,6.6971,registration1,77,"|a|=9.35 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_25,20,20,ok,9.3394,45.9101,13.5371,20.8708,registration1,79,"|a|=13.54 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_25,30,30,ok,9.0988,46.6245,12.3168,15.3858,registration1,79,"|a|=12.32 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_26,20,20,ok,7.0104,58.0626,11.6323,24.0468,registration1,83,"|a|=11.63 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_26,30,30,ok,6.7568,56.9189,9.2779,10.4779,registration1,83,"|a|=9.28 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_27,20,20,ok,6.8010,46.4699,9.6527,23.3762,registration1,76,"|a|=9.65 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_27,30,30,ok,6.7386,48.9975,10.1438,6.2016,registration1,76,
2026_07_21_gym,flight_28,20,20,ok,6.4951,49.3584,10.2554,5.6939,registration1,72,
2026_07_21_gym,flight_28,30,30,ok,6.2974,48.3577,8.9284,5.0601,registration1,72,"|a|=8.93 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_29,20,20,ok,7.4211,57.4595,11.5888,24.5634,registration1,85,"|a|=11.59 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_29,30,30,ok,7.4062,57.3596,10.7937,10.9250,registration1,85,
2026_07_21_gym,flight_30,20,20,ok,6.5110,61.3859,11.4675,18.2684,registration1,83,"|a|=11.47 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_30,30,30,ok,6.4859,61.0207,10.2915,2.1430,registration1,83,
2026_07_21_gym,flight_31,20,20,ok,6.7665,53.9914,11.2401,4.7138,registration1,76,"|a|=11.24 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_31,30,30,ok,6.6701,53.7486,10.2920,2.1016,registration1,76,
2026_07_21_gym,flight_32,20,20,ok,7.1677,57.9256,10.3108,12.7227,registration1,86,
2026_07_21_gym,flight_32,30,30,ok,7.1580,59.6279,10.3401,1.2195,registration1,86,
2026_07_21_gym,flight_33,20,,skipped,,,,,registration1,,"implausible |a|=26.37 m/s^2 outside hard gate [5.0,20.0]"
2026_07_21_gym,flight_33,30,30,ok,8.7078,45.4892,13.7283,28.6171,registration1,79,"|a|=13.73 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_34,20,20,ok,6.8802,51.2536,10.5334,31.7128,registration1,79,
