min_area,min_circ,avg_combined_rate,labeled_recall,meets_recall_gate,is_baseline
30,0.25,0.9824948903753252,0.9041666666666667,True,False
30,0.2,0.9824135013537187,0.8958333333333334,True,False
50,0.2,0.9802090439893776,0.8958333333333334,True,False
50,0.25,0.9792487663443176,0.9041666666666667,True,False
30,0.3,0.9751337792642142,0.9208333333333333,True,False
50,0.3,0.9718876552332064,0.9208333333333333,True,False
75,0.2,0.9670445744150244,0.8916666666666667,True,False
75,0.25,0.964973185658853,0.9,True,False
30,0.35,0.9579901065258751,0.925,True,False
75,0.3,0.957612074547742,0.9166666666666666,True,False
50,0.35,0.9547439824948674,0.925,True,False
100,0.2,0.948630297281081,0.8708333333333333,True,False
100,0.25,0.9465469639477476,0.875,True,False
100,0.3,0.9402969639477476,0.8916666666666667,True,False
75,0.35,0.9393695007105018,0.9166666666666666,True,False
100,0.35,0.9231532912094085,0.8916666666666667,True,False
150,0.2,0.9059927440551808,0.8416666666666667,True,False
150,0.25,0.9059927440551808,0.8458333333333333,True,False
150,0.3,0.9049510773885141,0.8625,True,False
150,0.35,0.8923421633697164,0.8625,True,False
200,0.3,0.8552206961250185,0.8125,True,True
200,0.35,0.8448734739027964,0.8125,True,False
200,0.25,0.8563195972239196,0.8,False,False
200,0.2,0.8563195972239196,0.7958333333333333,False,False
