frame_number,u,v
24,315.7254,664.0099
25,334.6726,672.7678
26,352.6677,672.3080
27,373.8566,687.1756
28,395.4146,694.7206
29,421.8628,702.7290
30,444.2913,712.7643
31,468.8123,724.1590
32,496.4740,734.9112
33,522.4449,747.9401
34,549.8725,759.5574
35,581.9395,774.7525
36,608.7249,788.2387
37,641.0123,802.3843
38,670.5308,817.6927
39,702.2945,833.0735
40,735.5997,849.5848
41,765.7904,864.7468
42,799.0825,878.7843
43,830.2461,898.0347
44,864.0984,914.2725
45,895.7428,931.7929
46,927.4951,948.0956
47,958.8678,964.4158
48,995.0167,976.1302
