frame_number,u,v
60,426.3834,743.6237
61,435.3974,724.9309
62,445.6271,707.6813
63,455.2102,691.3609
64,464.2578,673.7191
65,473.4606,657.5061
66,484.3463,643.8270
67,493.1763,631.0637
68,500.5118,616.4466
69,510.2849,599.2543
70,522.7931,585.5311
71,533.0756,576.4453
72,540.6416,566.2430
73,549.4967,552.6404
74,558.6581,542.4182
75,567.9920,534.6286
76,574.7317,521.6094
77,584.5842,512.5409
78,595.1272,503.7614
79,602.3356,498.3947
80,613.8760,487.9156
81,625.6436,482.8366
82,628.8744,477.2302
84,648.0577,463.5810
85,646.2731,455.0281
89,680.0710,438.7978
90,701.7765,442.8722
91,707.0766,443.1100
92,714.7809,441.2375
93,722.8954,440.2810
94,727.4532,441.4326
95,736.5022,438.8381
96,740.6979,439.8390
97,749.0091,438.5119
98,758.9799,439.2830
99,764.7515,438.2792
101,780.2944,446.1056
102,786.2908,448.0142
103,793.1118,451.4314
104,801.8216,457.9619
105,806.8720,461.7253
106,815.0639,467.7676
107,819.3575,470.5372
108,827.6414,473.1900
109,837.8751,478.6552
110,841.1520,486.9877
111,841.2279,503.9490
112,870.4435,500.9284
113,869.5096,504.8028
114,877.7837,511.8328
115,884.4081,524.9098
116,888.1267,532.8526
117,894.4750,543.4578
118,902.4963,553.0875
119,910.7637,562.6056
120,915.5542,573.0438
121,923.5009,586.7020
122,932.1934,595.6882
123,937.3650,608.6377
124,945.9527,621.9956
125,952.4558,636.1669
126,958.7391,647.3627
127,969.2422,656.1305
128,974.4309,669.3049
129,983.0100,685.1573
130,989.6919,697.5032
131,993.4044,716.5786
132,1002.8229,727.8053
133,1007.6508,745.2053
134,1010.2247,761.8184
135,1012.5680,779.7455
136,1020.3694,792.1584
137,1026.5283,811.1670
138,1031.7473,826.2783
139,1036.7913,844.5897
140,1042.5879,863.4343
141,1046.2307,882.1822
142,1050.7380,897.1508
143,1055.5404,914.8140
144,1061.4711,936.4975
145,1063.2797,952.4314
146,1066.0553,969.9547
