frame_number,u,v
43,417.0922,636.2909
44,431.1372,619.2881
45,442.0101,598.0690
46,454.5552,583.8053
47,467.0375,568.4415
48,479.8355,544.5871
49,494.5870,534.4193
50,505.3821,516.4394
51,517.1036,501.9771
52,530.9737,491.3659
53,542.3819,476.9889
54,553.2112,463.7440
55,568.9553,451.8330
56,578.3895,441.2970
57,590.3673,428.2427
58,607.3040,418.7541
59,615.7783,406.8658
60,624.5055,392.4062
61,643.9330,388.8611
62,654.4631,378.6513
63,666.1758,368.1037
64,677.6509,363.4777
65,689.2501,354.9512
66,700.9955,347.8877
67,712.0454,342.7893
68,723.5446,336.2875
69,735.2939,329.2862
70,746.5079,325.6601
71,757.0055,320.2424
72,766.2448,313.8985
73,780.7642,311.9096
74,789.9116,306.4220
75,800.8868,302.6220
76,814.4472,302.3074
77,824.5994,298.5513
78,837.0455,296.0183
79,849.3880,294.6039
80,860.1456,294.3894
81,871.1333,294.4802
82,882.9713,295.5264
83,893.4217,297.3278
84,904.6423,299.4621
85,917.9710,300.3096
86,926.5134,301.9436
87,939.8500,300.8706
88,952.0170,306.3420
89,963.3701,307.2435
90,976.0577,309.2263
91,986.3483,314.9126
92,999.8687,317.3446
93,1012.6847,320.6765
94,1023.3943,328.3035
95,1032.4836,330.7168
96,1046.5065,339.0760
97,1058.4820,347.0332
98,1067.9083,353.1830
99,1081.8617,359.5514
100,1088.9685,370.4299
101,1095.2710,378.7383
103,1130.9220,405.1486
105,1160.0338,410.8052
106,1173.9197,428.9003
107,1184.4980,435.2959
108,1197.5952,449.7639
109,1207.0537,465.3223
110,1217.6955,479.5236
111,1230.6044,492.7959
112,1241.8538,508.1503
113,1253.5150,522.9830
114,1267.8034,540.5782
115,1277.7046,559.1939
117,1301.8535,586.3482
118,1311.3082,608.2972
119,1325.7216,628.6719
120,1325.7836,640.8657
123,1357.3221,709.6317
124,1364.1770,727.3255
125,1376.9503,739.5731
126,1382.1138,761.2089
127,508.0728,1043.7117
128,1398.8207,804.4156
129,528.3652,1043.9390
130,542.0273,1046.7634
131,1414.2358,866.3288
132,1418.5840,889.3157
