session,flight,model,rejected_fraction,converge_fail
2026_07_21_gym,flight_34,B,0.4937,False
2026_07_21_gym,flight_34,C,0.3038,False
2026_07_21_gym,flight_35,A,0.4881,False
2026_07_21_gym,flight_35,B,0.6429,False
2026_07_21_gym,flight_35,C,0.4405,False
2026_07_21_gym,flight_36,A,0.3086,False
2026_07_21_gym,flight_36,B,0.5062,False
2026_07_21_gym,flight_36,C,0.3210,False
2026_07_21_gym,flight_37,A,0.4512,False
2026_07_21_gym,flight_37,B,0.5732,False
2026_07_21_gym,flight_37,C,0.4146,False
2026_07_21_gym,flight_38,A,0.5116,False
2026_07_21_gym,flight_38,B,0.6395,False
2026_07_21_gym,flight_38,C,0.4186,False
2026_07_21_gym,flight_39,A,0.4074,False
2026_07_21_gym,flight_39,B,0.6420,False
2026_07_21_gym,flight_39,C,0.3704,False
2026_07_21_gym,flight_40,A,0.3750,False
2026_07_21_gym,flight_40,B,0.5833,False
2026_07_21_gym,flight_40,C,0.4167,False
2026_07_21_gym,flight_41,A,0.4828,False
2026_07_21_gym,flight_41,B,0.5977,False
2026_07_21_gym,flight_41,C,0.4828,False
2026_07_21_gym,flight_42,A,0.4643,False
2026_07_21_gym,flight_42,B,0.5476,False
2026_07_21_gym,flight_42,C,0.4048,False
2026_07_21_gym,flight_43,A,0.3059,False
2026_07_21_gym,flight_43,B,0.5647,False
2026_07_21_gym,flight_43,C,0.2235,False
2026_07_21_gym,flight_44,A,0.5789,False
2026_07_21_gym,flight_44,B,0.6711,False
2026_07_21_gym,flight_44,C,0.4605,False
2026_07_21_gym,flight_45,A,0.4211,False
2026_07_21_gym,flight_45,B,0.6579,False
2026_07_21_gym,flight_45,C,0.4079,False
2026_07_21_gym,flight_46,A,0.2716,False
2026_07_21_gym,flight_46,B,0.4444,False
2026_07_21_gym,flight_46,C,0.2593,False
2026_07_21_gym,flight_47,A,0.3444,False
2026_07_21_gym,flight_47,B,0.6444,False
2026_07_21_gym,flight_47,C,0.2667,False
2026_07_21_gym,flight_48,A,0.4250,False
2026_07_21_gym,flight_48,B,0.7000,False
2026_07_21_gym,flight_48,C,0.3625,False
2026_07_21_gym,flight_49,A,0.3810,False
2026_07_21_gym,flight_49,B,0.6310,False
2026_07_21_gym,flight_49,C,0.3452,False
2026_07_21_gym,flight_50,A,0.5641,False
2026_07_21_gym,flight_50,B,0.6795,False
2026_07_21_gym,flight_50,C,0.5256,False
2026_07_21_gym,flight_51,A,0.5109,False
2026_07_21_gym,flight_51,B,0.7174,False
2026_07_21_gym,flight_51,C,0.4457,False
2026_07_21_gym,flight_52,A,0.3444,False
2026_07_21_gym,flight_52,B,0.6667,False
2026_07_21_gym,flight_52,C,0.2778,False
2026_07_21_gym,flight_53,A,0.2273,False
2026_07_21_gym,flight_53,B,0.6023,False
2026_07_21_gym,flight_53,C,0.2159,False
2026_07_21_gym,flight_54,A,0.3000,False
2026_07_21_gym,flight_54,B,0.5571,False
2026_07_21_gym,flight_54,C,0.2429,False
2026_07_21_gym,flight_55,A,0.4000,False
2026_07_21_gym,flight_55,B,0.5625,False
2026_07_21_gym,flight_55,C,0.3375,False
2026_07_21_gym,flight_56,A,0.3827,False
2026_07_21_gym,flight_56,B,0.4815,False
2026_07_21_gym,flight_56,C,0.3210,False
2026_07_21_gym,flight_57,A,0.3293,False
2026_07_21_gym,flight_57,B,0.5244,False
2026_07_21_gym,flight_57,C,0.2317,False
2026_07_21_gym,flight_58,A,0.4615,False
2026_07_21_gym,flight_58,B,0.6484,False
2026_07_21_gym,flight_58,C,0.3956,False
2026_07_21_gym,flight_59,A,0.4944,False
2026_07_21_gym,flight_59,B,0.7528,False
2026_07_21_gym,flight_59,C,0.4157,False
2026_07_21_gym,flight_60,A,0.3371,False
2026_07_21_gym,flight_60,B,0.5056,False
2026_07_21_gym,flight_60,C,0.2921,False
2026_07_21_gym,flight_61,A,0.2750,False
2026_07_21_gym,flight_61,B,0.2500,False
2026_07_21_gym,flight_61,C,0.2000,False
2026_07_21_gym,flight_62,A,0.3953,False
2026_07_21_gym,flight_62,B,0.6047,False
2026_07_21_gym,flight_62,C,0.3721,False
2026_07_21_gym,flight_63,A,0.2727,False
2026_07_21_gym,flight_63,B,0.3864,False
2026_07_21_gym,flight_63,C,0.2727,False
2026_07_21_gym,flight_64,A,0.3617,False
2026_07_21_gym,flight_64,B,0.5532,False
2026_07_21_gym,flight_64,C,0.3404,False
2026_07_21_gym,flight_65,A,0.3953,False
2026_07_21_gym,flight_65,B,0.5116,False
2026_07_21_gym,flight_65,C,0.3721,False
2026_07_21_gym,flight_66,A,0.1944,False
2026_07_21_gym,flight_66,B,0.2778,False
2026_07_21_gym,flight_66,C,0.1667,False
2026_07_21_gym,flight_67,A,0.1852,False
2026_07_21_gym,flight_67,B,0.1852,False
2026_07_21_gym,flight_67,C,0.1852,False
2026_07_21_gym,flight_68,A,0.3000,False
2026_07_21_gym,flight_68,B,0.4800,False
2026_07_21_gym,flight_68,C,0.2800,False
