session,flight,model,residual_rms_mm
2026_07_21_gym,flight_38,A,45.6223
2026_07_21_gym,flight_38,B,49.4195
2026_07_21_gym,flight_38,C,39.6703
2026_07_21_gym,flight_39,A,45.5212
2026_07_21_gym,flight_39,B,50.3158
2026_07_21_gym,flight_39,C,42.3437
2026_07_21_gym,flight_40,A,43.9426
2026_07_21_gym,flight_40,B,49.7447
2026_07_21_gym,flight_40,C,40.3758
2026_07_21_gym,flight_41,A,43.5104
2026_07_21_gym,flight_41,B,47.5340
2026_07_21_gym,flight_41,C,45.0407
2026_07_21_gym,flight_42,A,35.0761
2026_07_21_gym,flight_42,B,39.2847
2026_07_21_gym,flight_42,C,40.7454
2026_07_21_gym,flight_43,A,44.8101
2026_07_21_gym,flight_43,B,45.5715
2026_07_21_gym,flight_43,C,40.7651
2026_07_21_gym,flight_44,A,46.0055
2026_07_21_gym,flight_44,B,50.4047
2026_07_21_gym,flight_44,C,48.8495
2026_07_21_gym,flight_45,A,41.9656
2026_07_21_gym,flight_45,B,51.3368
2026_07_21_gym,flight_45,C,38.0615
2026_07_21_gym,flight_46,A,35.8517
2026_07_21_gym,flight_46,B,46.7154
2026_07_21_gym,flight_46,C,36.3386
2026_07_21_gym,flight_47,A,47.5156
2026_07_21_gym,flight_47,B,49.1092
2026_07_21_gym,flight_47,C,46.7690
2026_07_21_gym,flight_48,A,46.1056
2026_07_21_gym,flight_48,B,48.3681
2026_07_21_gym,flight_48,C,41.3362
2026_07_21_gym,flight_49,A,42.9688
2026_07_21_gym,flight_49,B,38.7449
2026_07_21_gym,flight_49,C,42.9198
2026_07_21_gym,flight_50,A,39.1181
2026_07_21_gym,flight_50,B,49.4287
2026_07_21_gym,flight_50,C,49.4674
2026_07_21_gym,flight_51,A,39.9506
2026_07_21_gym,flight_51,B,46.7558
2026_07_21_gym,flight_51,C,44.0257
2026_07_21_gym,flight_52,A,43.3618
2026_07_21_gym,flight_52,B,44.5451
2026_07_21_gym,flight_52,C,43.3623
2026_07_21_gym,flight_53,A,44.1899
2026_07_21_gym,flight_53,B,40.8895
2026_07_21_gym,flight_53,C,41.0238
2026_07_21_gym,flight_54,A,36.5554
2026_07_21_gym,flight_54,B,46.7534
2026_07_21_gym,flight_54,C,34.8381
2026_07_21_gym,flight_55,A,40.0874
2026_07_21_gym,flight_55,B,44.3603
2026_07_21_gym,flight_55,C,44.9559
2026_07_21_gym,flight_56,A,34.9645
2026_07_21_gym,flight_56,B,46.6257
2026_07_21_gym,flight_56,C,45.7983
2026_07_21_gym,flight_57,A,40.1702
2026_07_21_gym,flight_57,B,41.3883
2026_07_21_gym,flight_57,C,40.2729
2026_07_21_gym,flight_58,A,46.7028
2026_07_21_gym,flight_58,B,47.2028
2026_07_21_gym,flight_58,C,45.7720
2026_07_21_gym,flight_59,A,47.0606
2026_07_21_gym,flight_59,B,45.6902
2026_07_21_gym,flight_59,C,43.3006
2026_07_21_gym,flight_60,A,43.7386
2026_07_21_gym,flight_60,B,45.7740
2026_07_21_gym,flight_60,C,46.2268
2026_07_21_gym,flight_61,A,38.3927
2026_07_21_gym,flight_61,B,47.8843
2026_07_21_gym,flight_61,C,46.6276
2026_07_21_gym,flight_62,A,45.0303
2026_07_21_gym,flight_62,B,44.5060
2026_07_21_gym,flight_62,C,45.7970
2026_07_21_gym,flight_63,A,38.3486
2026_07_21_gym,flight_63,B,46.2681
2026_07_21_gym,flight_63,C,43.4620
2026_07_21_gym,flight_64,A,36.1340
2026_07_21_gym,flight_64,B,47.3205
2026_07_21_gym,flight_64,C,40.6921
2026_07_21_gym,flight_65,A,37.6169
2026_07_21_gym,flight_65,B,45.3747
2026_07_21_gym,flight_65,C,42.9524
2026_07_21_gym,flight_66,A,34.9172
2026_07_21_gym,flight_66,B,45.2899
2026_07_21_gym,flight_66,C,39.8349
2026_07_21_gym,flight_67,A,31.9456
2026_07_21_gym,flight_67,B,40.1470
2026_07_21_gym,flight_67,C,44.2904
2026_07_21_gym,flight_68,A,30.6633
2026_07_21_gym,flight_68,B,47.4748
2026_07_21_gym,flight_68,C,39.3454
2026_07_21_gym,flight_69,A,34.2096
2026_07_21_gym,flight_69,B,42.7565
2026_07_21_gym,flight_69,C,39.4463
2026_07_21_gym,flight_70,A,39.2461
2026_07_21_gym,flight_70,B,49.0362
2026_07_21_gym,flight_70,C,43.1634
2026_07_21_gym,flight_71,A,32.4500
2026_07_21_gym,flight_71,B,41.0417
2026_07_21_gym,flight_71,C,37.2499
2026_07_21_gym,flight_72,A,34.7502
2026_07_21_gym,flight_72,B,48.0912
2026_07_21_gym,flight_72,C,41.4971
2026_07_21_gym,flight_73,A,39.8479
2026_07_21_gym,flight_73,B,45.6665
2026_07_21_gym,flight_73,C,47.4503
2026_07_21_gym,flight_74,A,32.9144
2026_07_21_gym,flight_74,B,42.2203
2026_07_21_gym,flight_74,C,37.8578
2026_07_21_gym,flight_75,A,42.6810
2026_07_21_gym,flight_75,B,42.8090
2026_07_21_gym,flight_75,C,41.4001
2026_07_21_gym,flight_76,A,39.9566
2026_07_21_gym,flight_76,B,56.5817
2026_07_21_gym,flight_76,C,45.8978
2026_07_21_gym,flight_77,A,36.0976
2026_07_21_gym,flight_77,B,44.8868
2026_07_21_gym,flight_77,C,44.8327
2026_07_21_gym,flight_78,A,32.9890
2026_07_21_gym,flight_78,B,51.4999
2026_07_21_gym,flight_78,C,43.4447
2026_07_21_gym,flight_79,A,38.3451
2026_07_21_gym,flight_79,B,45.3092
2026_07_21_gym,flight_79,C,42.3462
2026_07_21_gym,flight_80,A,38.1245
2026_07_21_gym,flight_80,B,43.7895
2026_07_21_gym,flight_80,C,42.3892
2026_07_21_gym,flight_81,A,38.0250
2026_07_21_gym,flight_81,B,43.3271
2026_07_21_gym,flight_81,C,39.6844
2026_07_21_gym,flight_87,A,41.4769
2026_07_21_gym,flight_87,B,51.9150
2026_07_21_gym,flight_87,C,39.0796
2026_07_21_gym,flight_88,A,43.7605
2026_07_21_gym,flight_88,B,45.1677
2026_07_21_gym,flight_88,C,46.9524
2026_07_21_gym,flight_89,A,30.0309
2026_07_21_gym,flight_89,B,32.9137
2026_07_21_gym,flight_89,C,36.5531
2026_07_21_gym,flight_90,A,39.9061
2026_07_21_gym,flight_90,B,51.3876
2026_07_21_gym,flight_90,C,42.6693
2026_07_21_gym,flight_91,A,38.0748
2026_07_21_gym,flight_91,B,42.9641
2026_07_21_gym,flight_91,C,38.2843
2026_07_21_gym,flight_92,A,36.0053
2026_07_21_gym,flight_92,B,43.6919
2026_07_21_gym,flight_92,C,42.0434
2026_07_21_gym,flight_93,A,45.5889
2026_07_21_gym,flight_93,B,44.8939
2026_07_21_gym,flight_93,C,44.6318
2026_07_21_gym,flight_94,A,48.7242
2026_07_21_gym,flight_94,B,45.5811
2026_07_21_gym,flight_94,C,37.1655
2026_07_21_gym,flight_95,A,43.6611
2026_07_21_gym,flight_95,B,46.0080
2026_07_21_gym,flight_95,C,49.7729
2026_07_21_gym,flight_96,A,39.2515
2026_07_21_gym,flight_96,B,41.7697
2026_07_21_gym,flight_96,C,42.8066
2026_07_21_gym,flight_97,A,38.4548
2026_07_21_gym,flight_97,B,45.2065
2026_07_21_gym,flight_97,C,40.9611
2026_07_21_gym,flight_98,A,40.2501
2026_07_21_gym,flight_98,B,48.8787
2026_07_21_gym,flight_98,C,36.2504
2026_07_21_gym,flight_99,A,40.7344
2026_07_21_gym,flight_99,B,48.8770
2026_07_21_gym,flight_99,C,41.9675
2026_07_21_gym,flight_100,A,40.6857
2026_07_21_gym,flight_100,B,44.0945
2026_07_21_gym,flight_100,C,43.4414
2026_07_21_gym,flight_101,A,34.8976
2026_07_21_gym,flight_101,B,46.3259
2026_07_21_gym,flight_101,C,41.5339
2026_07_21_gym,flight_102,A,42.5605
2026_07_21_gym,flight_102,B,51.0956
2026_07_21_gym,flight_102,C,37.6271
2026_07_21_gym,flight_103,A,36.1377
2026_07_21_gym,flight_103,B,47.9286
2026_07_21_gym,flight_103,C,42.1009
2026_07_21_gym,flight_104,A,43.3228
2026_07_21_gym,flight_104,B,46.6521
2026_07_21_gym,flight_104,C,40.0003
2026_07_21_gym,flight_105,A,44.7030
2026_07_21_gym,flight_105,B,54.5965
2026_07_21_gym,flight_105,C,43.4672
2026_07_21_gym,flight_106,A,43.7899
2026_07_21_gym,flight_106,B,44.8914
2026_07_21_gym,flight_106,C,43.1639
2026_07_21_gym,flight_107,A,43.6697
2026_07_21_gym,flight_107,B,45.4086
2026_07_21_gym,flight_107,C,46.4945
2026_07_21_gym,flight_108,A,42.2571
2026_07_21_gym,flight_108,B,48.9655
2026_07_21_gym,flight_108,C,40.7599
2026_07_21_gym,flight_109,A,43.4113
2026_07_21_gym,flight_109,B,46.2619
2026_07_21_gym,flight_109,C,44.7217
2026_07_21_gym,flight_110,A,40.7516
2026_07_21_gym,flight_110,B,43.4261
2026_07_21_gym,flight_110,C,43.3530
2026_07_21_gym,flight_111,A,38.2226
2026_07_21_gym,flight_111,B,38.1386
2026_07_21_gym,flight_111,C,39.0143
2026_07_21_gym,flight_112,A,40.0066
2026_07_21_gym,flight_112,B,47.2399
2026_07_21_gym,flight_112,C,42.9087
2026_07_21_gym,flight_113,A,40.2394
2026_07_21_gym,flight_113,B,42.3892
2026_07_21_gym,flight_113,C,40.9461
2026_07_21_gym,flight_114,A,44.0634
2026_07_21_gym,flight_114,B,49.5885
2026_07_21_gym,flight_114,C,43.4717
2026_07_21_gym,flight_115,A,36.1265
2026_07_21_gym,flight_115,B,42.1362
2026_07_21_gym,flight_115,C,38.4512
2026_07_21_gym,flight_116,A,40.6927
2026_07_21_gym,flight_116,B,40.2513
2026_07_21_gym,flight_116,C,42.9358
2026_07_21_gym,flight_117,A,44.6600
2026_07_21_gym,flight_117,B,50.5748
2026_07_21_gym,flight_117,C,43.9107
2026_07_21_gym,flight_118,A,41.1320
2026_07_21_gym,flight_118,B,47.6556
2026_07_21_gym,flight_118,C,46.5834
