session,flight,fps,phase,T_ms,status,airborne,n_detected,n_points_used,cy_own,cz_own,cy_ref,cz_ref,position_error_mm,velocity_error_mm_s,cls_own,hit_miss_match,t_cross_own_ms
2026_07_15_gym,flight_11,30,1,150,not_fit_eligible,True,5,5,,,,,,,,,
2026_07_15_gym,flight_11,30,1,200,not_fit_eligible,True,7,7,,,,,,,,,
2026_07_15_gym,flight_11,30,1,250,fit_failed,True,8,8,,,,,,,,,
2026_07_15_gym,flight_11,30,1,300,fit_failed,True,10,10,,,,,,,,,
2026_07_15_gym,flight_11,30,1,350,fit_failed,True,11,11,,,,,,,,,
2026_07_15_gym,flight_11,30,1,400,fit_failed,True,12,12,,,,,,,,,
2026_07_15_gym,flight_11,30,1,450,ok,True,13,13,1642.1272330261927,2712.6147503403167,1314.3592502562951,2917.588176914399,386.5824053556609,281.0309241461914,MISS_HIGH_WIDE,True,1197.631962848047
2026_07_15_gym,flight_11,30,1,490,ok,True,14,14,1355.2324033458883,2797.3764285869743,1314.3592502562951,2917.588176914399,126.97038662389511,169.40542475652506,MISS_HIGH_WIDE,True,1217.2638017771496
2026_07_15_gym,flight_11,30,1,500,ok,True,15,15,1355.2324273480788,2797.3762633829024,1314.3592502562951,2917.588176914399,126.97055076071894,169.4056652748789,MISS_HIGH_WIDE,True,1217.2638329998565
2026_07_15_gym,flight_11,30,1,550,ok,True,15,15,1355.2324273480788,2797.3762633829024,1314.3592502562951,2917.588176914399,126.97055076071894,169.4056652748789,MISS_HIGH_WIDE,True,1217.2638329998565
2026_07_15_gym,flight_11,30,1,600,ok,True,17,17,1287.4392550884663,2778.1871181609927,1314.3592502562951,2917.588176914399,141.97655201267054,204.85806836303257,MISS_HIGH_WIDE,True,1222.853036435094
2026_07_15_gym,flight_11,30,1,650,ok,True,18,18,1353.6328679111825,2780.336830555618,1314.3592502562951,2917.588176914399,142.75976016020897,180.74624792678105,MISS_HIGH_WIDE,True,1217.208306077533
