session,flight,fps,phase,T_ms,status,airborne,n_detected,n_points_used,cy_own,cz_own,cy_ref,cz_ref,position_error_mm,velocity_error_mm_s,cls_own,hit_miss_match,t_cross_own_ms
2026_07_15_gym,flight_11,20,0,150,not_fit_eligible,True,4,4,,,,,,,,,
2026_07_15_gym,flight_11,20,0,200,not_fit_eligible,True,5,5,,,,,,,,,
2026_07_15_gym,flight_11,20,0,250,not_fit_eligible,True,6,6,,,,,,,,,
2026_07_15_gym,flight_11,20,0,300,not_fit_eligible,True,7,7,,,,,,,,,
2026_07_15_gym,flight_11,20,0,350,fit_failed,True,8,8,,,,,,,,,
2026_07_15_gym,flight_11,20,0,400,fit_failed,True,9,9,,,,,,,,,
2026_07_15_gym,flight_11,20,0,450,fit_failed,True,9,9,,,,,,,,,
2026_07_15_gym,flight_11,20,0,490,fit_failed,True,9,9,,,,,,,,,
2026_07_15_gym,flight_11,20,0,500,fit_failed,True,9,9,,,,,,,,,
2026_07_15_gym,flight_11,20,0,550,fit_failed,True,9,9,,,,,,,,,
2026_07_15_gym,flight_11,20,0,600,fit_failed,True,10,10,,,,,,,,,
2026_07_15_gym,flight_11,20,0,650,fit_failed,True,11,11,,,,,,,,,
2026_07_15_gym,flight_11,20,0,700,ok,True,12,12,1285.8965064320853,2735.6808455496093,1314.3592502562951,2917.588176914399,184.12062619451942,240.2311839282665,MISS_HIGH_WIDE,True,1187.9003618795948
2026_07_15_gym,flight_11,20,0,750,ok,True,13,13,1287.3518546684677,2749.7110934702782,1314.3592502562951,2917.588176914399,170.0356273318673,220.04151593891106,MISS_HIGH_WIDE,True,1185.4887774524182
2026_07_15_gym,flight_11,20,0,800,ok,True,14,14,1285.6049889192027,2771.7827791267837,1314.3592502562951,2917.588176914399,148.61366548553505,196.8684149463824,MISS_HIGH_WIDE,True,1182.895635183242
2026_07_15_gym,flight_11,20,0,850,ok,True,15,15,1337.5768791254131,2761.180412302048,1314.3592502562951,2917.588176914399,158.1216212961931,165.85081321729436,MISS_HIGH_WIDE,True,1182.5750804566537
2026_07_15_gym,flight_11,20,0,900,ok,True,16,16,1377.4185525112957,2755.609405247574,1314.3592502562951,2917.588176914399,173.8205916213061,153.69641973019029,MISS_HIGH_WIDE,True,1180.3048432380108
2026_07_15_gym,flight_11,20,0,950,ok,True,17,17,1364.0231765421634,2757.479991724059,1314.3592502562951,2917.588176914399,167.63393611996457,154.45080134145076,MISS_HIGH_WIDE,True,1181.3742142506774
2026_07_15_gym,flight_11,20,0,1000,ok,True,18,18,1376.4447463034514,2755.8145391605913,1314.3592502562951,2917.588176914399,173.27815410928648,157.0510429517046,MISS_HIGH_WIDE,True,1180.3978293062066
2026_07_15_gym,flight_11,20,0,1050,fit_failed,True,19,19,,,,,,,,,
2026_07_15_gym,flight_11,20,0,1100,fit_failed,True,19,19,,,,,,,,,
